method,param_name,param_value,auroc,auprc,time_sec
RAW,-,-,0.9464285714285714,0.8568451832626531,0
PCA,-,-,0.9302631578947369,0.8403742429389973,0.017054080963134766
t-SNE,perplexity_ee,2_4,0.3882832080200501,0.14172624369668538,0.6842460632324219
t-SNE,perplexity_ee,2_12,0.2541979949874687,0.12095871966254826,0.7575292587280273
t-SNE,perplexity_ee,2_24,0.30213032581453636,0.1272065492536391,0.8172430992126465
t-SNE,perplexity_ee,2_36,0.41829573934837094,0.1488361529480285,0.8360018730163574
t-SNE,perplexity_ee,2_48,0.34022556390977443,0.1331697165960585,0.8804898262023926
t-SNE,perplexity_ee,2_60,0.25770676691729316,0.12192072101614466,0.9455969333648682
t-SNE,perplexity_ee,5_4,0.48659147869674185,0.16665457715565093,0.7704219818115234
t-SNE,perplexity_ee,5_12,0.5091478696741853,0.17200089450917866,0.8515579700469971
t-SNE,perplexity_ee,5_24,0.48665413533834584,0.1650629170518405,0.8846511840820312
t-SNE,perplexity_ee,5_36,0.5151002506265665,0.1760916554000826,0.9087808132171631
t-SNE,perplexity_ee,5_48,0.47180451127819545,0.16063563866499198,0.9329648017883301
t-SNE,perplexity_ee,5_60,0.5944862155388471,0.20470474911430347,0.9386711120605469
t-SNE,perplexity_ee,10_4,0.5858395989974938,0.20812957764381684,0.8206000328063965
t-SNE,perplexity_ee,10_12,0.6145363408521304,0.2186484022083393,0.8976562023162842
t-SNE,perplexity_ee,10_24,0.655451127819549,0.2394001706946275,0.933894157409668
t-SNE,perplexity_ee,10_36,0.6703634085213033,0.2674132996886033,0.9323649406433105
t-SNE,perplexity_ee,10_48,0.6633458646616541,0.2578566209207892,0.9240479469299316
t-SNE,perplexity_ee,10_60,0.6984335839598997,0.2749972424783377,0.9309170246124268
t-SNE,perplexity_ee,30_4,0.7680451127819549,0.4531564975914304,1.0355560779571533
t-SNE,perplexity_ee,30_12,0.788220551378446,0.38750262465842233,1.1357159614562988
t-SNE,perplexity_ee,30_24,0.8241228070175438,0.49599121563219684,1.1582891941070557
t-SNE,perplexity_ee,30_36,0.8337719298245614,0.4941987917068659,1.1151602268218994
t-SNE,perplexity_ee,30_48,0.8355889724310777,0.503468619061905,1.1104750633239746
t-SNE,perplexity_ee,30_60,0.7800751879699248,0.38803982033300327,1.1475677490234375
t-SNE,perplexity_ee,50_4,0.8116541353383459,0.539860047112517,1.0779550075531006
t-SNE,perplexity_ee,50_12,0.8172932330827067,0.41883407586032406,1.2823097705841064
