method,param,tweaked_parameter,auroc,auprc
kNN,30,n_neighbors,0.9475014971055958,0.6790996015223675
IsolationForest,-,default,0.9160955486060284,0.466586625063984
t-SNE,5,perplexity,0.9206201344068135,0.6725405341108277
t-SNE,10,perplexity,0.9457715084170603,0.47963100286432103
t-SNE,20,perplexity,0.8136935258500233,0.5082301896091542
t-SNE,30,perplexity,0.8485594517266617,0.526545975842883
t-SNE,50,perplexity,0.7993213121298822,0.4716789169475416
t-SNE,75,perplexity,0.8368487590658061,0.5788185516898023
t-SNE,100,perplexity,0.8666577949298023,0.5738665012219313
UMAP,5,n_neighbors,0.7786945239204205,0.23024217040150824
UMAP,10,n_neighbors,0.8825603832590325,0.3067039780376123
UMAP,15,n_neighbors,0.9064475347661188,0.2368378604299036
UMAP,30,n_neighbors,0.6390312063344201,0.20918521729736791
UMAP,50,n_neighbors,0.6644487324505954,0.19740135448384563
UMAP,100,n_neighbors,0.70916228624659,0.5705652418962962
PaCMAP,5,n_neighbors,0.8260695987757003,0.3480560934080828
PaCMAP,10,n_neighbors,0.8133608357176125,0.2598755927433874
PaCMAP,15,n_neighbors,0.8892141859072461,0.33236471447928934
PaCMAP,30,n_neighbors,0.8655931865060882,0.39071388338933927
PaCMAP,50,n_neighbors,0.7997870783152572,0.3909479987249942
DensMAP,0.25,dens_lambda,0.9770443808636636,0.4434340253325787
DensMAP,0.5,dens_lambda,0.9846297158826269,0.4412758410283667
DensMAP,1.0,dens_lambda,0.9820347328498237,0.4022021008710352
DensMAP,2.0,dens_lambda,0.9850289440415196,0.46294908097193416
DensMAP,4.0,dens_lambda,0.9740501696719676,0.44357500758543406
DensMAP,8.0,dens_lambda,0.9572825869984696,0.3932202257843541
Density t-SNE,0.00025,lambda_density,0.890744560516335,0.48237899962057046
Density t-SNE,0.0005,lambda_density,0.8812296227293898,0.5758702909303953
Density t-SNE,0.001,lambda_density,0.8966664448732451,0.5807502787988198
Density t-SNE,0.002,lambda_density,0.9554860602834521,0.742729764034962
Density t-SNE,0.004,lambda_density,0.9296693060083838,0.6128298740999958
Density t-SNE,0.008,lambda_density,0.8997271940914233,0.48751734046180695
Density t-SNE,0.016,lambda_density,0.9119036529376539,0.5533840435009235
Density t-SNE,0.032,lambda_density,0.8779692594317652,0.39012634036349275
Density t-SNE,0.064,lambda_density,0.868520859671302,0.5250000843385028
Density t-SNE,0.128,lambda_density,0.8720473750748552,0.5476160801169093
