method,param,tweaked_parameter,auroc_mean,auroc_std,auprc_mean,auprc_std,n_seeds
DensMAP,0.25,dens_lambda,0.9540154108764982,0.03821100251513001,0.31053418016592294,0.1223384054326627,3
DensMAP,0.5,dens_lambda,0.9589265031002955,0.04280897717381538,0.3299747129662636,0.11356612902920751,3
DensMAP,1.0,dens_lambda,0.9574638735946749,0.04170654666451184,0.366335282449007,0.12160024282308093,3
DensMAP,2.0,dens_lambda,0.9562676584412926,0.0386224955983127,0.3881423869603209,0.12620240831420185,3
DensMAP,4.0,dens_lambda,0.9545383207187744,0.03887275988632457,0.35276090238824737,0.0932970429883413,3
DensMAP,8.0,dens_lambda,0.948985591750661,0.03683489486202166,0.3923782458095957,0.0460570218213569,3
Density t-SNE,0.00025,lambda_density,0.9309557803899184,0.03507138054615142,0.4355602554774927,0.055213933526734635,3
Density t-SNE,0.0005,lambda_density,0.9157041915562361,0.02998130727924581,0.448094515935287,0.11403385119819841,3
Density t-SNE,0.001,lambda_density,0.9027020790320174,0.005241912256912918,0.4229915839311045,0.17275590217548722,3
Density t-SNE,0.002,lambda_density,0.8732109414926158,0.07580267971555206,0.38213079682693946,0.31300327686137036,3
Density t-SNE,0.004,lambda_density,0.845802595764192,0.0772318796316764,0.34417512665103617,0.2357060093987368,3
Density t-SNE,0.008,lambda_density,0.8159026273871913,0.07383646141647561,0.25548037994055406,0.20281867187115252,3
Density t-SNE,0.016,lambda_density,0.7742684497369842,0.20123735561682035,0.3562815123207943,0.17512992837028432,3
Density t-SNE,0.032,lambda_density,0.656144072542909,0.25380009009305077,0.21679800120385803,0.17431952221219368,3
Density t-SNE,0.064,lambda_density,0.8042739118068449,0.09854329816012415,0.3145035826052094,0.1911579999187006,3
Density t-SNE,0.128,lambda_density,0.7275912420705944,0.1708867851277381,0.2983992105712146,0.22051721169129984,3
IsolationForest,-,default,0.8751776195651372,0.03739602478159172,0.26976092197253526,0.176315781293335,3
PaCMAP,10,n_neighbors,0.8971307510348384,0.07381152082917608,0.24830504126096611,0.034495053493384886,3
PaCMAP,15,n_neighbors,0.9205688680430971,0.03401330213629768,0.2584431185004052,0.07454380832091438,3
PaCMAP,30,n_neighbors,0.8706832013894963,0.011507032362421855,0.21685925811454212,0.15502199841182354,3
PaCMAP,5,n_neighbors,0.8981519456049076,0.06720219007625222,0.356655323115081,0.07018197669470068,3
PaCMAP,50,n_neighbors,0.8289316341074389,0.044511664661655945,0.18928891671249512,0.17563686680368193,3
UMAP,10,n_neighbors,0.9237399894794592,0.04565186254266727,0.2703781140574472,0.051823418939111715,3
UMAP,100,n_neighbors,0.48941249061504616,0.1965932176356925,0.3117238456873477,0.24453763395806757,3
UMAP,15,n_neighbors,0.9144600913426215,0.031490073048846975,0.17761297514900573,0.055502110561593515,3
UMAP,30,n_neighbors,0.44883102172975714,0.16655002028090732,0.1155772166742083,0.08677422884586922,3
UMAP,5,n_neighbors,0.8660478676701401,0.09766134370485918,0.2782855680658402,0.07394121187571137,3
UMAP,50,n_neighbors,0.44097679496788383,0.19942439608332133,0.10544300895298671,0.08754454423078742,3
kNN,30,n_neighbors,0.9191886675743923,0.026153027731907794,0.39873009121972663,0.25128889694101786,3
t-SNE,10,perplexity,0.9316447144651484,0.012513746574298767,0.4155365065875321,0.09887697822232142,3
t-SNE,100,perplexity,0.8912397894236528,0.04183039225824562,0.36931098684450325,0.18139279945967363,3
t-SNE,20,perplexity,0.8689874535134705,0.05563002356706262,0.32137500671763053,0.18081600987913232,3
t-SNE,30,perplexity,0.8723061675449827,0.048451790602495506,0.31078098483723404,0.20335032413539256,3
t-SNE,5,perplexity,0.9250092709185256,0.025367672376041053,0.4857417400140431,0.16391528570127534,3
t-SNE,50,perplexity,0.8722159492346941,0.06715687667706838,0.30634744837015504,0.14429339576473285,3
t-SNE,75,perplexity,0.8756799049440822,0.05381314466217039,0.345140091032925,0.21499768336958153,3
