method,param_name,param_value,auroc,auprc,time_sec
RAW,-,-,0.6897982817250985,0.3683820625164681,0
PCA,-,-,0.8159736672403,0.5095949835467163,0.025609970092773438
t-SNE,perplexity_ee,2_4,0.5577058986731454,0.2469760120840653,23.97699284553528
t-SNE,perplexity_ee,2_12,0.5621733478053846,0.24466187141019463,23.555147886276245
t-SNE,perplexity_ee,2_24,0.5877178306170118,0.270145440373294,23.86738419532776
t-SNE,perplexity_ee,2_36,0.5690000037492361,0.26610766223495147,24.331074714660645
t-SNE,perplexity_ee,2_48,0.5995848658335864,0.3033178308853127,25.156213998794556
t-SNE,perplexity_ee,2_60,0.6269083611714114,0.2984452618755252,25.671334981918335
t-SNE,perplexity_ee,5_4,0.6051203785978607,0.289466898720653,22.174242973327637
t-SNE,perplexity_ee,5_12,0.6649452986454011,0.35787941609387813,22.422693252563477
t-SNE,perplexity_ee,5_24,0.6938809655032787,0.37267028030164134,22.46445393562317
t-SNE,perplexity_ee,5_36,0.7004482211749357,0.3895609700705205,22.443603038787842
t-SNE,perplexity_ee,5_48,0.6514164145305394,0.3416554485855461,22.608937978744507
t-SNE,perplexity_ee,5_60,0.6564685101660537,0.3489779250135887,23.253318071365356
t-SNE,perplexity_ee,10_4,0.5024590302225922,0.2591146958160346,21.957377910614014
t-SNE,perplexity_ee,10_12,0.5126637478863681,0.24629135961847848,21.798221111297607
t-SNE,perplexity_ee,10_24,0.5227173244701392,0.24725599815525118,21.957706928253174
t-SNE,perplexity_ee,10_36,0.5029515861143292,0.24738485226730933,22.172248601913452
t-SNE,perplexity_ee,10_48,0.4917055181256819,0.2257341770889974,22.608887672424316
t-SNE,perplexity_ee,10_60,0.4939906775244544,0.22936988478674522,23.11603093147278
t-SNE,perplexity_ee,30_4,0.3489102376640759,0.17199114368450175,22.954260110855103
t-SNE,perplexity_ee,30_12,0.33499729117692273,0.16826719434357867,23.127994060516357
t-SNE,perplexity_ee,30_24,0.3495808822702374,0.172247560947296,22.753097772598267
t-SNE,perplexity_ee,30_36,0.34521864607586206,0.16808959977484098,22.938491106033325
t-SNE,perplexity_ee,30_48,0.344652511425797,0.1694786200441544,23.00512981414795
t-SNE,perplexity_ee,30_60,0.341803091995006,0.17064977063895764,23.948077917099
