method,param_name,param_value,auroc,auprc,time_sec
RAW,-,-,0.99359875,0.9779261319556739,0
PCA,-,-,0.9106242500000001,0.6058666371623509,0.026670217514038086
t-SNE,perplexity_ee,2_4,0.49403250000000004,0.1868164434749888,24.43157386779785
t-SNE,perplexity_ee,2_12,0.3953265,0.15808521143636184,24.10225009918213
t-SNE,perplexity_ee,2_24,0.4833365,0.1816367782302743,26.667150735855103
t-SNE,perplexity_ee,2_36,0.48389400000000005,0.1846538624050908,37.39616894721985
t-SNE,perplexity_ee,2_48,0.462364,0.17671436617401012,32.449037075042725
t-SNE,perplexity_ee,2_60,0.48018425,0.17973061696078552,36.82560181617737
t-SNE,perplexity_ee,5_4,0.58081925,0.22435764451329457,23.735465049743652
t-SNE,perplexity_ee,5_12,0.5956429999999999,0.22970452526941837,26.133092164993286
t-SNE,perplexity_ee,5_24,0.581553,0.22833241774665497,26.52790379524231
t-SNE,perplexity_ee,5_36,0.60417575,0.23293134330686557,35.17583107948303
t-SNE,perplexity_ee,5_48,0.58055875,0.22148323498737632,57.235774993896484
t-SNE,perplexity_ee,5_60,0.594863,0.22622720495214144,42.559115171432495
t-SNE,perplexity_ee,10_4,0.63803875,0.2605666920377928,26.080912113189697
t-SNE,perplexity_ee,10_12,0.6483947499999999,0.2601803693126752,29.61423397064209
t-SNE,perplexity_ee,10_24,0.6415735,0.25267790534810486,31.647144079208374
t-SNE,perplexity_ee,10_36,0.654209,0.25748660207625995,34.465084075927734
t-SNE,perplexity_ee,10_48,0.6505230000000001,0.25895828685553096,42.148537158966064
t-SNE,perplexity_ee,10_60,0.6672845000000001,0.2726536505630168,35.98311996459961
t-SNE,perplexity_ee,30_4,0.72149975,0.310653887614501,29.8207528591156
t-SNE,perplexity_ee,30_12,0.72624475,0.32044266191347925,34.4461886882782
t-SNE,perplexity_ee,30_24,0.7172065,0.31413755972756574,36.97775197029114
t-SNE,perplexity_ee,30_36,0.7174395,0.31538544823843456,37.89914321899414
t-SNE,perplexity_ee,30_48,0.72204025,0.3156086529894307,42.60406279563904
t-SNE,perplexity_ee,30_60,0.7223507499999999,0.32380010232315615,50.73012399673462
t-SNE,perplexity_ee,50_4,0.7658045,0.3631974720129935,31.08879280090332
t-SNE,perplexity_ee,50_12,0.76881225,0.36638314674559397,34.65650796890259
t-SNE,perplexity_ee,50_24,0.7632352499999999,0.37125052742948994,30.73508882522583
t-SNE,perplexity_ee,50_36,0.76612775,0.3642463663028117,44.174054861068726
t-SNE,perplexity_ee,50_48,0.7641517499999999,0.368816764800591,42.2680459022522
t-SNE,perplexity_ee,50_60,0.7702665000000001,0.37382241296554564,45.781545877456665
t-SNE,perplexity_ee,80_4,0.8048755000000001,0.456430724686371,34.54449009895325
t-SNE,perplexity_ee,80_12,0.80326275,0.4513154851544309,38.72570300102234
t-SNE,perplexity_ee,80_24,0.807048,0.4575347572086979,33.35418128967285
t-SNE,perplexity_ee,80_36,0.80007375,0.44318189287362947,49.579182147979736
t-SNE,perplexity_ee,80_48,0.8015890000000001,0.44842027888813296,51.25564384460449
t-SNE,perplexity_ee,80_60,0.797536,0.4527352395228631,50.74663519859314
t-SNE,perplexity_ee,100_4,0.82417325,0.48685962721765175,34.7232551574707
t-SNE,perplexity_ee,100_12,0.8265159999999999,0.5027691454796908,33.00571584701538
t-SNE,perplexity_ee,100_24,0.82583525,0.4927659164620248,35.79325222969055
t-SNE,perplexity_ee,100_36,0.8171075000000001,0.4814303181627571,41.35212302207947
t-SNE,perplexity_ee,100_48,0.811683,0.47130403095241663,56.58323097229004
t-SNE,perplexity_ee,100_60,0.81980875,0.4951079538514842,54.15827703475952
t-SNE,perplexity_ee,120_4,0.8357782500000001,0.515512366441667,38.85885787010193
t-SNE,perplexity_ee,120_12,0.8333289999999999,0.5222475123640706,35.92951583862305
t-SNE,perplexity_ee,120_24,0.82996025,0.5014884516386797,39.384917974472046
t-SNE,perplexity_ee,120_36,0.82207675,0.5083279890777086,46.122562885284424
