method,param_name,param_value,auroc,auprc,time_sec
RAW,-,-,0.6794462301330921,0.13525331908279925,0
PCA,-,-,0.709555498126373,0.18526274704685847,0.016204118728637695
t-SNE,perplexity_ee,2_4,0.5254050103372528,0.07814351299939795,18.234333992004395
t-SNE,perplexity_ee,2_12,0.5006884771934359,0.07640356788833848,18.09597396850586
t-SNE,perplexity_ee,2_24,0.4767694469569712,0.07092136381366651,18.097081899642944
t-SNE,perplexity_ee,2_36,0.4663302348494638,0.06764657279409914,18.963156938552856
t-SNE,perplexity_ee,2_48,0.4896910130507818,0.07256558322118548,19.702715158462524
t-SNE,perplexity_ee,2_60,0.5337616294094845,0.08805382207449113,20.515754222869873
t-SNE,perplexity_ee,5_4,0.5605122997157256,0.11101498285028394,15.544137954711914
t-SNE,perplexity_ee,5_12,0.5735126066029204,0.09655276308498509,15.718408823013306
t-SNE,perplexity_ee,5_24,0.5382286551880088,0.08575185652868414,16.162541151046753
t-SNE,perplexity_ee,5_36,0.5582823200671923,0.0919048167193305,16.53922700881958
t-SNE,perplexity_ee,5_48,0.5656748691691433,0.10232349704777628,17.617433786392212
t-SNE,perplexity_ee,5_60,0.5921721556402636,0.10445896633336572,18.073714017868042
t-SNE,perplexity_ee,10_4,0.5969016507300684,0.10556543550352496,16.273478269577026
t-SNE,perplexity_ee,10_12,0.5790910889649825,0.09657590246191725,16.6734299659729
t-SNE,perplexity_ee,10_24,0.6516628440366973,0.1359381971643838,16.9056179523468
t-SNE,perplexity_ee,10_36,0.587012614678899,0.10347491710694631,17.704453945159912
t-SNE,perplexity_ee,10_48,0.5940104503165784,0.10922718632492995,18.207618951797485
t-SNE,perplexity_ee,10_60,0.5957114533531463,0.10210548106293518,17.373308897018433
t-SNE,perplexity_ee,30_4,0.5651024841710814,0.09389398759502031,17.851377248764038
t-SNE,perplexity_ee,30_12,0.5919399712495155,0.1088341890631307,17.791718244552612
t-SNE,perplexity_ee,30_24,0.572115462269027,0.09590838802265975,17.949862957000732
t-SNE,perplexity_ee,30_36,0.5844545483912651,0.1010483215185074,17.964998960494995
t-SNE,perplexity_ee,30_48,0.5782794530947152,0.09866748941216365,17.696382761001587
t-SNE,perplexity_ee,30_60,0.5801934600723608,0.09959193021224944,18.978004932403564
t-SNE,perplexity_ee,50_4,0.5786156157126243,0.105009064560165,18.646509885787964
t-SNE,perplexity_ee,50_12,0.5825738548262049,0.10966736762664918,19.73226308822632
t-SNE,perplexity_ee,50_24,0.5873386823232976,0.11575572990044877,19.68306303024292
t-SNE,perplexity_ee,50_36,0.5831139359090323,0.10551903817532049,19.67236304283142
t-SNE,perplexity_ee,50_48,0.5777464384933454,0.10152269372213674,20.941164016723633
t-SNE,perplexity_ee,50_60,0.5788235721669466,0.10207561378668868,20.701467037200928
t-SNE,perplexity_ee,80_4,0.5818692256751519,0.11029371539706889,22.71927809715271
t-SNE,perplexity_ee,80_12,0.5899068435844423,0.11267436184461554,23.001802921295166
t-SNE,perplexity_ee,80_24,0.5887176557048714,0.1142323089551606,22.947959899902344
t-SNE,perplexity_ee,80_36,0.5900128408063058,0.1210410103239596,24.380182027816772
t-SNE,perplexity_ee,80_48,0.5987076414911487,0.11917880539170322,22.798564910888672
t-SNE,perplexity_ee,80_60,0.5992305611190076,0.1173750452455032,22.8386070728302
t-SNE,perplexity_ee,100_4,0.5897311910453548,0.11205510320031076,25.41531801223755
t-SNE,perplexity_ee,100_12,0.5924982232846622,0.11502975521342251,25.26245617866516
t-SNE,perplexity_ee,100_24,0.5893930094327433,0.11805512384236333,24.74171280860901
t-SNE,perplexity_ee,100_36,0.5976567547486755,0.11771681989590475,24.96407198905945
t-SNE,perplexity_ee,100_48,0.5989236739242796,0.1258889615420775,26.137967109680176
t-SNE,perplexity_ee,100_60,0.5891234736400052,0.10864331837690254,23.76507306098938
t-SNE,perplexity_ee,120_4,0.5914503650342422,0.11784471091535823,27.25060510635376
t-SNE,perplexity_ee,120_12,0.5904923520480682,0.11736945846278377,25.893022060394287
