k,trustworthiness,continuity,density_corr,time_sec
5,0.9394636577972382,0.974262400359268,0.780616895723783,9.335214853286743
10,0.974467452565398,0.9779702705737061,0.7358660405833215,8.779869079589844
15,0.9804762995396878,0.978362231952397,0.7233608059932884,9.237817764282227
20,0.9819724710901538,0.9785014033905917,0.7240781258178051,9.404417037963867
25,0.9828125743797014,0.9784890984618839,0.7201683827805281,10.006519079208374
30,0.9827497473896935,0.9784944874817559,0.7225121578564419,9.749474048614502
35,0.9838586729538565,0.9784668687549118,0.7206369176048821,9.784955024719238
40,0.9845535870663523,0.9781508925564163,0.7233458055130025,10.192423105239868
45,0.9846429549792298,0.9779275625912204,0.7320532096522426,10.261706113815308
50,0.9843812731559448,0.978240170652296,0.7214972829546893,10.886709213256836
