method,param,auroc,auprc
t-SNE,5,0.548766957494579,0.5520356824453025
t-SNE,10,0.5570224956414215,0.559945175554527
t-SNE,30,0.5655132434224506,0.5605132928367618
t-SNE,50,0.5794088525866019,0.5638904190986112
UMAP,5,0.527052628075646,0.5516557432766722
UMAP,15,0.505524386278862,0.5250552684660132
UMAP,50,0.5790733188431398,0.5608478978274563
PaCMAP,5,0.5415757829440694,0.5402372224720262
PaCMAP,15,0.5663385572273041,0.5379486091619279
PaCMAP,50,0.5960893758208337,0.5509506903865217
DensMAP,0.5,0.5984147510682039,0.5751391885876597
DensMAP,1.0,0.6048823759821202,0.5762610733945827
DensMAP,2.0,0.5911430932210984,0.568020969554351
Density t-SNE,0.001,0.5391508836201931,0.5420468454689819
Density t-SNE,0.004,0.5654991628457102,0.5509034572640765
Density t-SNE,0.01,0.5737110192033466,0.5651049081771423
