k,trustworthiness,continuity,density_corr,time_sec
5,0.8620056014293302,0.9468219062795334,0.9922558458967105,22.440459966659546
10,0.8823590847319661,0.9556168125659651,0.9884476025722019,23.825366020202637
15,0.8885781613239241,0.9569055690072639,0.9864793122302579,24.214539051055908
20,0.8928360064292268,0.9584299303960321,0.984545116562604,25.535052061080933
25,0.8956830777508744,0.9590167559998068,0.9840445098513431,24.423154830932617
30,0.8973659623490132,0.959839172754427,0.9832573851496221,24.435960054397583
35,0.8979050930237371,0.9600966729441306,0.9824382403278352,27.024540901184082
40,0.8989913702117092,0.960217807302553,0.9818248809436855,27.461883783340454
45,0.8999949780288763,0.9600267102639984,0.9815838580843091,26.907209157943726
50,0.9003200954726378,0.96014331932976,0.981025138512886,27.246392011642456
