dataset,method,seed,param1_name,param1_value,param2_name,param2_value,AUROC_kNN,AUROC_LOF,AUROC_IF,AUROC_centroid,AUROC_linear,AUPRC_kNN,AUPRC_LOF,AUPRC_IF,AUPRC_centroid,AUPRC_linear
cifar,HIGH-D,0,,,,,0.6081575203025508,0.5786907269539115,0.5946506586719569,0.6018926138094495,0.9902141891239254,0.12591099931240118,0.11541981264762449,0.12083387131148497,0.12399262388603596,0.9344474922089493
cifar,DR-SNE,0,lambda,0.0,k_density,10.0,0.610936350667588,0.5176395823581421,0.5901828901321802,0.5772815757602775,0.6969338133131237,0.12212859397421268,0.10516122863551017,0.12003299514657742,0.11788896498893592,0.185411363643634
cifar,DR-SNE,0,lambda,0.0,k_density,20.0,0.6055388999100967,0.512980722793096,0.5946643577855546,0.571542343727942,0.6985526306013121,0.1240377217339465,0.09865726328436833,0.12530860277083916,0.11945572496570145,0.18550886385676177
cifar,DR-SNE,0,lambda,0.0,k_density,40.0,0.6166333244173002,0.5109883144239128,0.603203781512605,0.5791492989768852,0.6925542763524507,0.12952323966017326,0.10397712212985526,0.1305618441965657,0.12505033792880854,0.17810676934258718
cifar,DR-SNE,0,lambda,0.0,k_density,80.0,0.6184402142819992,0.515966200803929,0.605784555201391,0.5893117193827133,0.7140976417092035,0.12686777109263775,0.10145568067355065,0.12828731049397335,0.1245060578595995,0.1844256105215359
cifar,DR-SNE,0,lambda,0.0,k_density,300.0,0.6202995787174286,0.5192349486213583,0.5786644896685464,0.5435181366976498,0.7427352904026331,0.12337097823453536,0.10200883191122687,0.1142015847049391,0.1072702539588429,0.19979160388148304
cifar,DR-SNE,0,lambda,5e-05,k_density,10.0,0.4924849913440178,0.4812691323213636,0.47576603585731375,0.4713196286472149,0.749799389251722,0.09415617713135321,0.09092649333969159,0.0920850582514392,0.09103762198916684,0.23872385898596546
cifar,DR-SNE,0,lambda,5e-05,k_density,20.0,0.5536921665217811,0.5132073386383731,0.5410392937015656,0.5360374919198448,0.7215657483152411,0.10715777907091174,0.09890216759106113,0.10561521278609029,0.10450853067905289,0.23394271188449564
cifar,DR-SNE,0,lambda,5e-05,k_density,40.0,0.5277437234840886,0.5123004108805327,0.5204407028063215,0.516414788727162,0.7052364049067903,0.10289973064669922,0.09991494912481197,0.10004045631145181,0.10072489445568975,0.1801185653257145
cifar,DR-SNE,0,lambda,5e-05,k_density,80.0,0.4688078149031496,0.504353996240406,0.47489811574497176,0.46958100216213805,0.703996519032016,0.0898119314181694,0.09664852312822034,0.09234654395081976,0.09118332666949924,0.1759469739652246
cifar,DR-SNE,0,lambda,5e-05,k_density,300.0,0.5076752186285655,0.4885614723342918,0.4747525336394505,0.4763172510383463,0.7472337078067302,0.09666581371880964,0.09468800129955485,0.0903749246392096,0.08753211017587224,0.20742449482252112
cifar,DR-SNE,0,lambda,0.0001,k_density,10.0,0.504146419841146,0.4777832883816657,0.4918318454702836,0.4872440355452526,0.7239233889842409,0.0943409729015903,0.09051083152276956,0.0915250306752622,0.09080869360384279,0.20037925850199736
cifar,DR-SNE,0,lambda,0.0001,k_density,20.0,0.5049822979589714,0.488343215270193,0.5038503796744161,0.49661004985548596,0.7227573390098744,0.09161124386618892,0.08832199036166297,0.09055254781045184,0.08962936287469331,0.1859957513677162
cifar,DR-SNE,0,lambda,0.0001,k_density,40.0,0.5029961586756718,0.49967679379444085,0.5006139060398695,0.49337705904643026,0.7012892026837261,0.09708883916021574,0.09618604465612908,0.09783962657705828,0.09691088014057447,0.197324931835907
cifar,DR-SNE,0,lambda,0.0001,k_density,80.0,0.4753717800117394,0.5150381439047768,0.4888438133874239,0.4897303085690509,0.7172879098589038,0.09190266806233317,0.09678423255582369,0.09549277093046188,0.09376890484300598,0.19090127083578204
cifar,DR-SNE,0,lambda,0.0001,k_density,300.0,0.48378117825379485,0.5003831108040033,0.4832673453996984,0.4549652088952292,0.7541603511431098,0.09430385221774093,0.09478253878149592,0.08936131067691375,0.08197686909076848,0.22339406635542203
cifar,DR-SNE,0,lambda,0.0002,k_density,10.0,0.5359102526952425,0.4916679204838434,0.5132598132091032,0.5177726262918961,0.7358383671771095,0.10331800128977814,0.09434053937586764,0.09778944996871947,0.10019154995373639,0.23051842503899123
cifar,DR-SNE,0,lambda,0.0002,k_density,20.0,0.5081925343081529,0.48187653708698336,0.49727085794530024,0.4942435860285759,0.6941169040560522,0.09609716866631898,0.09300747122612381,0.09431136021887748,0.09447171795165078,0.2207110332256231
cifar,DR-SNE,0,lambda,0.0002,k_density,40.0,0.507658501066209,0.48289816589765877,0.5015110818863354,0.5024816292564771,0.7172154670886922,0.09439278741017178,0.0892804362043656,0.09333640605506216,0.09507223392423553,0.19739287070491301
cifar,DR-SNE,0,lambda,0.0002,k_density,80.0,0.4964126897443327,0.5051102337486719,0.500604618505227,0.49897372742200335,0.7371084375394721,0.09691383288962858,0.09676918776671536,0.10013388124729389,0.09784653045599016,0.23406845178145416
cifar,DR-SNE,0,lambda,0.0002,k_density,300.0,0.4594390143325235,0.4598987472973274,0.461799673450282,0.4582989694551561,0.7446443431484001,0.08539247124556552,0.0864292109317654,0.08425838466422667,0.0822177355530993,0.19721712116420018
