dataset,method,seed,param1_name,param1_value,param2_name,param2_value,AUROC_kNN,AUROC_LOF,AUROC_IF,AUROC_centroid,AUROC_linear,AUPRC_kNN,AUPRC_LOF,AUPRC_IF,AUPRC_centroid,AUPRC_linear
pbmc,HIGH-D,0,,,,,0.9434082397003745,0.9227340823970037,0.9267166042446942,0.9383770287141073,1.0,0.5432204027200868,0.3624467192457579,0.25743551734130826,0.5507082485916646,1.0
pbmc,DR-SNE,0,lambda,0.0,k_density,10.0,0.8484893882646692,0.7376404494382023,0.8485143570536828,0.8478901373283395,0.508414481897628,0.06692169122645614,0.05642512465209412,0.06840020911861483,0.0649808497986472,0.07426392453738781
pbmc,DR-SNE,0,lambda,0.0,k_density,20.0,0.8939200998751561,0.8689513108614233,0.8846317103620475,0.8829463171036205,0.48310861423220974,0.14870194436336634,0.11199131042015213,0.14785400905692633,0.15707576987769611,0.052142852620140956
pbmc,DR-SNE,0,lambda,0.0,k_density,40.0,0.8971285892634209,0.8536953807740325,0.8895630461922597,0.8959300873907615,0.6060174781523097,0.19344158118432908,0.17428196200425514,0.12632507437778617,0.21229100166475978,0.04858925209684661
pbmc,DR-SNE,0,lambda,0.0,k_density,80.0,0.9105243445692883,0.8651810237203496,0.9094881398252186,0.9170287141073659,0.5148439450686642,0.21004256892589834,0.09153875633892017,0.1921457361708278,0.27834504715675806,0.05689771078829976
pbmc,DR-SNE,0,lambda,0.0,k_density,300.0,0.9004993757802746,0.7414606741573034,0.901210986267166,0.9117228464419476,0.5657428214731585,0.21468227900162332,0.040589450377212385,0.20822674306765543,0.29199052722627006,0.023790772722249633
pbmc,DR-SNE,0,lambda,5e-05,k_density,10.0,0.8954556803995006,0.8768039950062423,0.8865293383270911,0.8930586766541823,0.6747315855181024,0.6097731721515878,0.5950805303212676,0.6173017819845545,0.6005880363297003,0.45859751420889977
pbmc,DR-SNE,0,lambda,5e-05,k_density,20.0,0.9108239700374532,0.8605555555555555,0.9039325842696629,0.9047440699126093,0.5705368289637953,0.6159855582997441,0.6342339215577484,0.510252349712893,0.5927497751571846,0.4080262928342258
pbmc,DR-SNE,0,lambda,5e-05,k_density,40.0,0.9126591760299626,0.8679400749063672,0.9131086142322098,0.9140199750312109,0.6526591760299626,0.6139808055381271,0.5442441923018979,0.5634910446080176,0.6146881697667498,0.4412209772597114
pbmc,DR-SNE,0,lambda,5e-05,k_density,80.0,0.9329338327091136,0.90541822721598,0.9295505617977528,0.9319475655430711,0.6200873907615481,0.6341700139319467,0.5424008986252508,0.6194876973760951,0.6540403619041584,0.4287646199720008
