dataset,method,seed,param1_name,param1_value,param2_name,param2_value,AUROC_kNN,AUROC_LOF,AUROC_IF,AUROC_centroid,AUROC_linear,AUPRC_kNN,AUPRC_LOF,AUPRC_IF,AUPRC_centroid,AUPRC_linear
swiss,HIGH-D,0,,,,,0.9690961572111119,0.48407946753315567,0.9676433515776276,0.955162045931454,0.9999821905530679,0.714513831173108,0.09211954727593769,0.7557713232524252,0.8143917386691003,0.9998414982113351
swiss,DR-SNE,0,lambda,0.0,k_density,10.0,0.5401311398624844,0.4435164485825684,0.5612838652198866,0.5546171213789498,0.8068823717196668,0.1100084935400584,0.08211183126418833,0.13872257977043778,0.1239748231378633,0.25114893432763874
swiss,DR-SNE,0,lambda,0.0,k_density,20.0,0.48781989662506525,0.47584727330688925,0.6279023276501905,0.736697790159301,0.9509745997215493,0.0884866734471568,0.0897993900071105,0.12874267544347384,0.18557608052800045,0.5355776660034715
swiss,DR-SNE,0,lambda,0.0,k_density,40.0,0.8114135402553606,0.5324534872900656,0.8246330474768688,0.864252833594316,0.9884523546092407,0.2721228502459424,0.10856070772956447,0.2883636546398301,0.2802656524153947,0.8833518629650394
swiss,DR-SNE,0,lambda,0.0,k_density,80.0,0.7643066626476682,0.5349374599009171,0.7980217266347848,0.8354046462175629,0.9763477187656807,0.21797024954440083,0.12152373192164219,0.22836071531863716,0.27896388134212957,0.8006892419549501
swiss,DR-SNE,0,lambda,0.0,k_density,300.0,0.45040848192719585,0.4092005383795807,0.4876184272566461,0.4714289721411274,0.8620030552106214,0.08247619351591512,0.07814639685483987,0.08808376764488375,0.08508894658588081,0.29929144286411247
swiss,DR-SNE,0,lambda,5e-05,k_density,10.0,0.6865025318354996,0.5556518502457035,0.6339742359635957,0.642675263880349,0.8410052720415281,0.23431340336437906,0.12301473864489942,0.2004351823022723,0.20199914803860505,0.3476549269053305
swiss,DR-SNE,0,lambda,5e-05,k_density,20.0,0.8372283335834076,0.5556794548884483,0.8254580701059973,0.7992347725889458,0.9709536825261277,0.2884381970355505,0.1185410464674311,0.3350510339303935,0.26889439685028005,0.8234963461911526
swiss,DR-SNE,0,lambda,5e-05,k_density,40.0,0.876259962715923,0.5715091591759391,0.8490667181953331,0.8368765970064992,0.9687435301618567,0.46709345999195334,0.14508097210183468,0.3811195481971161,0.3682405491510783,0.7413518974426332
swiss,DR-SNE,0,lambda,5e-05,k_density,80.0,0.8726223831800459,0.6141652333772187,0.8150591340423571,0.7931339239242761,0.9631673923274232,0.49353123563086215,0.1633291505167342,0.346484411253875,0.30285720890114826,0.7556849282163914
swiss,DR-SNE,0,lambda,5e-05,k_density,300.0,0.7534531404510866,0.5634334654645883,0.7361853233238305,0.7286764152610933,0.7842608122265415,0.2857821277709223,0.14491792879561874,0.2633113187639721,0.27570099422936933,0.4997672669425182
swiss,DR-SNE,0,lambda,0.0001,k_density,10.0,0.6562358220106065,0.5910249737421966,0.5949457234842936,0.5939023125121605,0.7704161934177174,0.21319106721525216,0.13303043243911802,0.16968845571943664,0.17631365790514172,0.22673356370376901
swiss,DR-SNE,0,lambda,0.0001,k_density,20.0,0.8227479175191084,0.5475236186659033,0.7998144700865851,0.7962519128459096,0.9572693487396922,0.3186116468810991,0.10938686300255443,0.38302113061579923,0.3014023158223868,0.818793674782334
swiss,DR-SNE,0,lambda,0.0001,k_density,40.0,0.8661606705969147,0.5153472908937182,0.8286192469364413,0.7973534271386585,0.9773089836638396,0.38719360632183575,0.09706500574869398,0.34905531907139303,0.34398437850951274,0.8363793223971849
swiss,DR-SNE,0,lambda,0.0001,k_density,80.0,0.8144576199722262,0.5922311185356717,0.754767477634674,0.7219388788686013,0.9155440407587002,0.409029559724218,0.14677965794750938,0.29557958542231977,0.24603355488386772,0.5898811509667183
swiss,DR-SNE,0,lambda,0.0001,k_density,300.0,0.8114068617127613,0.584376039348192,0.7705758105858462,0.7597006944348594,0.7659878744380563,0.4364161259688433,0.1607500482852393,0.31450887755162316,0.3157268827395063,0.5013001504213702
swiss,DR-SNE,0,lambda,0.0002,k_density,10.0,0.6283943136216891,0.6036258253009017,0.5956609953967031,0.5974882446519344,0.7287082496474843,0.20670796848397027,0.1543203037048017,0.17921399091282036,0.19142379796814046,0.20797390518049197
swiss,DR-SNE,0,lambda,0.0002,k_density,20.0,0.7880065841525308,0.5429383539351532,0.7732968714589811,0.7811450494857746,0.9516785181115396,0.29164838306714497,0.11474950696235763,0.33760713886774113,0.2867402977079077,0.7394251179713991
swiss,DR-SNE,0,lambda,0.0002,k_density,40.0,0.779184674614726,0.5477876437166713,0.7444206342033101,0.7195310416433846,0.9233370095000042,0.3046211005402697,0.10605800852779895,0.3217281599823407,0.2647294316080687,0.683126196423679
swiss,DR-SNE,0,lambda,0.0002,k_density,80.0,0.7230341598549243,0.5609597332857228,0.6571630263415077,0.6065456841254159,0.8831317378146651,0.23748538118325863,0.12400500410562534,0.17854098575263402,0.1377818822204405,0.4784961698814088
swiss,DR-SNE,0,lambda,0.0002,k_density,300.0,0.8457399135084209,0.5570418775787523,0.8020969733290175,0.7993440780694916,0.8510221954684752,0.46604717259650646,0.12885086444639796,0.36713913524947983,0.3656110975316866,0.5924927755421734
swiss,DR-SNE,0,lambda,0.0005,k_density,10.0,0.6233595829739906,0.6080868691393005,0.61419506420083,0.6142148772105419,0.6754526604864918,0.21477129649954052,0.17724156664442195,0.21158621406117373,0.21431726541083151,0.2040877339851237
swiss,DR-SNE,0,lambda,0.0005,k_density,20.0,0.7461392458322554,0.5671954885109032,0.7109103788559122,0.7077625591106674,0.890492382231693,0.26716104443655536,0.12055673933393693,0.23473416791857132,0.22968215275338907,0.5557784352658981
swiss,DR-SNE,0,lambda,0.0005,k_density,40.0,0.8801860552920994,0.5442335459632884,0.8550498018921647,0.8447969032933674,0.9735551974867309,0.4718024862656807,0.10807618877039533,0.4979198907635636,0.461011672932631,0.8629809854362728
swiss,DR-SNE,0,lambda,0.0005,k_density,80.0,0.7881566287429336,0.5880205200447551,0.7258093169231152,0.6826766173983159,0.9118628280778396,0.39518363296564213,0.119492690739192,0.31278719666330956,0.2680646206629252,0.6228956280208863
swiss,DR-SNE,0,lambda,0.0005,k_density,300.0,0.8685827553796772,0.5813379703196663,0.8369856798689581,0.8383409787804892,0.8850337867470109,0.5478589953804891,0.14553259115208,0.4644451689797762,0.520123045570693,0.6148376640639442
swiss,DR-SNE,0,lambda,0.001,k_density,10.0,0.6651770548428562,0.6228086032095295,0.6597220212475606,0.6597678805734108,0.6459504211711582,0.2399027565423418,0.19287277025011831,0.23500975141844566,0.24363088456358722,0.21597342692406757
swiss,DR-SNE,0,lambda,0.001,k_density,20.0,0.6887812505704589,0.6159192412819418,0.6429281580267845,0.6419562074604664,0.8141054381591444,0.23941111287414601,0.16370306599761764,0.18349363687970477,0.18849164619474754,0.3012575500021007
swiss,DR-SNE,0,lambda,0.001,k_density,40.0,0.8643298594522972,0.5543306119014301,0.818916660247845,0.7867109468882221,0.9544599084861569,0.3828045142704705,0.1300928950575462,0.3623406836737454,0.3557115560898485,0.7914843960379554
swiss,DR-SNE,0,lambda,0.001,k_density,80.0,0.7714291057119793,0.5921547605319503,0.726366307375916,0.7030207938650017,0.9367172469800742,0.3122724980134296,0.13242714925105878,0.21804983690596796,0.1902759245206769,0.6437435935672339
swiss,DR-SNE,0,lambda,0.001,k_density,300.0,0.8723311987227063,0.5875187388774439,0.8618363142637196,0.8608213984066778,0.8978134006292968,0.5183214151934818,0.17325612413635808,0.4880387607201816,0.6144872694896247,0.6219724072572852
swiss,DR-SNE,0,lambda,0.002,k_density,10.0,0.7004816119686608,0.6508983307650626,0.7001730633005625,0.69874073853105,0.6224904819637052,0.2616464812251819,0.22075900388891034,0.255531809088972,0.2645903892844116,0.21377825269901915
swiss,DR-SNE,0,lambda,0.002,k_density,20.0,0.6328297563801231,0.5834726551525624,0.6170354483684097,0.6168172826434919,0.7453988180760545,0.21887151499050866,0.15851286073379423,0.19592763410811936,0.2028905374053333,0.23543147347884794
swiss,DR-SNE,0,lambda,0.002,k_density,40.0,0.7625364036226195,0.6046425221026368,0.7408903565851988,0.7255675536810123,0.929752417521112,0.27520865997943,0.1451338816864972,0.2424933082674472,0.20299423071123787,0.629783268286089
swiss,DR-SNE,0,lambda,0.002,k_density,80.0,0.7588249148819746,0.597304139494274,0.7122621158780569,0.7069918552946818,0.9161210668392996,0.3023696230622108,0.13204384409127123,0.23391337055196076,0.19122980860661268,0.619640274856966
swiss,DR-SNE,0,lambda,0.002,k_density,300.0,0.816946490180984,0.5808880591665446,0.7655232704912157,0.7694811974537833,0.8865311159978255,0.49376917798115144,0.14278026681564587,0.38747947734738253,0.45819888887187643,0.6389330452653014
swiss,DR-SNE,0,lambda,0.005,k_density,10.0,0.7314371021536519,0.6624929485721054,0.7314972090370476,0.7301775290193806,0.6070630485587928,0.2996535664240392,0.24790502394513061,0.2869988584267569,0.29890382585727204,0.21728917096127592
swiss,DR-SNE,0,lambda,0.005,k_density,20.0,0.6676726035942135,0.6111000049421216,0.6566828391286017,0.6566601320837631,0.6835043114444841,0.2297051365919613,0.17596663036535187,0.2152265931825004,0.22224216446060022,0.224165312745735
swiss,DR-SNE,0,lambda,0.005,k_density,40.0,0.6969410939185637,0.6261449804741677,0.6674517664522557,0.6530986879335209,0.8460137337550018,0.2599796893772243,0.16525467244850395,0.2117737126666176,0.1943238426359929,0.3823306480857882
swiss,DR-SNE,0,lambda,0.005,k_density,80.0,0.7970644688621856,0.6184208007216387,0.759608530546986,0.7506459263784179,0.9378218779260363,0.36510186788936605,0.14647298355105592,0.3028874717271572,0.24922951330310836,0.6449791182001589
swiss,DR-SNE,0,lambda,0.005,k_density,300.0,0.8037207496530496,0.5820837409099469,0.7813792437129313,0.7897835217201788,0.856880167800609,0.4154999541695106,0.17579466095713894,0.3413253256180025,0.40619072754765656,0.5978455475632112
swiss,DR-SNE,0,lambda,0.01,k_density,10.0,0.7495399597239358,0.6824388612817726,0.7476187656361378,0.747612977565885,0.6014584156092678,0.30446755179988366,0.2652239944137676,0.29185105965880054,0.304069343128887,0.2106789731613176
swiss,DR-SNE,0,lambda,0.01,k_density,20.0,0.7037509811892169,0.6432451661821754,0.6913549382702308,0.6937705671284805,0.6674838234567335,0.2590643544511144,0.2085129377129724,0.2472307479580719,0.2551502394805412,0.2408525531445198
swiss,DR-SNE,0,lambda,0.01,k_density,40.0,0.66696690425953,0.6005376672028794,0.6411458776250568,0.6318364344774864,0.7360270418642216,0.21905668630640263,0.14939762624309114,0.19852873014349437,0.1930762095913057,0.2715861954369768
swiss,DR-SNE,0,lambda,0.01,k_density,80.0,0.7305675559071931,0.6406634642312842,0.6968538276285964,0.6976623765193127,0.8801793767494999,0.295938132432413,0.16089602621955587,0.22290713943782292,0.19257546988016347,0.47501230541805517
swiss,DR-SNE,0,lambda,0.01,k_density,300.0,0.8488561214853614,0.6380588326174678,0.795687798614336,0.8047550332836301,0.8845814267949361,0.4972188662830217,0.15800598341158922,0.3826700265593069,0.5053773778280489,0.6405450339491544
swiss,DR-SNE,0,lambda,0.02,k_density,10.0,0.7552358660889876,0.6692961573001591,0.7565083510722845,0.757277273943577,0.6012936782251461,0.31603083388501146,0.25837124695333696,0.2984580474319433,0.31384886450541477,0.21372227518139186
swiss,DR-SNE,0,lambda,0.02,k_density,20.0,0.7283591844876154,0.658294371457868,0.7193293496568788,0.7199014781395717,0.6557349313156418,0.27912676165082195,0.22012995272398295,0.26819843215164874,0.2775402827614706,0.2495249449050845
swiss,DR-SNE,0,lambda,0.02,k_density,40.0,0.6832883719004327,0.6102110909221242,0.6759043525843065,0.6741815112117147,0.6868542684124079,0.23699923053415303,0.1594921087106868,0.2212372421142518,0.22780935882977724,0.26742245297517864
swiss,DR-SNE,0,lambda,0.02,k_density,80.0,0.6681917489722835,0.5979530712168616,0.6422155575314148,0.6364651097351335,0.719780819136607,0.1933797729987558,0.1760749677501941,0.17003885684690945,0.16255507418364049,0.246386922726933
swiss,DR-SNE,0,lambda,0.02,k_density,300.0,0.8291740112083754,0.577553908082773,0.80627061721755,0.8156107816610781,0.8747595168118953,0.42092658877594474,0.12659691934059591,0.4074475581100377,0.495246050617369,0.5738864391587769
swiss,DR-SNE,0,lambda,0.05,k_density,10.0,0.7586641846234127,0.6495207700448664,0.7611076407424936,0.7608805702941097,0.6029067688810191,0.3136580601139523,0.23795237236599326,0.30215783925168893,0.31280907004737113,0.21610232275650765
swiss,DR-SNE,0,lambda,0.05,k_density,20.0,0.7428200101602894,0.635250950690539,0.7419161807284865,0.7436541601309706,0.6460425850590317,0.2905541403486219,0.22263155230979886,0.2835007011579006,0.29186880292061623,0.2541795850304771
swiss,DR-SNE,0,lambda,0.05,k_density,40.0,0.7146899887310725,0.6206854945171392,0.7099183926617956,0.7111134065509379,0.6632264751676202,0.25374643898580196,0.16867565526118602,0.23764664610759653,0.25130040262625686,0.2592369056467272
swiss,DR-SNE,0,lambda,0.05,k_density,80.0,0.709034598857791,0.5907725248319344,0.6986312104324178,0.6981583696163712,0.6659802608994928,0.21649887184426458,0.16598892347067684,0.19831585549190672,0.2095443689075699,0.2224999715852386
