dataset,method,seed,param1_name,param1_value,param2_name,param2_value,AUROC_kNN,AUROC_LOF,AUROC_IF,AUROC_centroid,AUROC_linear,AUPRC_kNN,AUPRC_LOF,AUPRC_IF,AUPRC_centroid,AUPRC_linear
thyroid,HIGH-D,0,,,,,0.6351038827665205,0.6710688470197891,0.5901893984279338,0.5616048504957143,0.9849735355689853,0.12204076542941805,0.1244843076726147,0.09850651543210921,0.10287572442510502,0.9134919726728702
thyroid,DR-SNE,0,lambda,0.0,k_density,10.0,0.6377374886439942,0.5992016234150965,0.5389925741596555,0.5416192676857448,0.6293607062448158,0.11169082980163425,0.10421674006437154,0.07676535150084686,0.07662490202045022,0.12320573489015806
thyroid,DR-SNE,0,lambda,0.0,k_density,20.0,0.6640814472488842,0.6244519492830904,0.5678378164869455,0.5630233637476795,0.6285746731445274,0.13769729585716825,0.11130076241299999,0.08408887049009858,0.08113176473787004,0.12922292904006027
thyroid,DR-SNE,0,lambda,0.0,k_density,40.0,0.6545325275506577,0.63119099814354,0.5687275348580005,0.5664612710826717,0.6390449105344235,0.1256896921150854,0.11838836144376641,0.08343158453027494,0.082710789369659,0.13966711247852323
thyroid,DR-SNE,0,lambda,0.0,k_density,80.0,0.6758620689655173,0.6387022554015089,0.6024909151953233,0.5892582059485721,0.6450714934628906,0.16116721833161496,0.11206308883578069,0.09344948440500568,0.08912230873626278,0.16001988926474264
thyroid,DR-SNE,0,lambda,0.0,k_density,300.0,0.6910327052968361,0.5890128174744242,0.6958674013508709,0.6682150333767825,0.653309041355611,0.19023601864814918,0.1039033778287096,0.15949144653900488,0.1378161519131081,0.19214558348944
thyroid,DR-SNE,0,lambda,5e-05,k_density,10.0,0.6234012718726547,0.6107235256941976,0.5673475332780346,0.5654461429079275,0.6406574633645377,0.10996921707823148,0.10636821846631135,0.08921734160856422,0.0831471909297295,0.1361123498514054
thyroid,DR-SNE,0,lambda,5e-05,k_density,20.0,0.5846437176600703,0.6165126199786706,0.5302415373069479,0.5337934984397836,0.6234871825255757,0.0944341277364094,0.11931016369396402,0.08061593294812341,0.07819540199052774,0.11863272475127373
thyroid,DR-SNE,0,lambda,5e-05,k_density,40.0,0.6057165145949363,0.6107511750997354,0.5578879804084211,0.5724088557096022,0.6509450171821306,0.11122792868501097,0.10775436850133648,0.08437182032388826,0.08595643049939511,0.15059011001563902
thyroid,DR-SNE,0,lambda,5e-05,k_density,80.0,0.62599537859936,0.5971140932969942,0.5926921633684875,0.6036161472528341,0.6291098866374373,0.17013085753451368,0.12884454757962982,0.10779054933140861,0.11071638141690018,0.16791407668419597
thyroid,DR-SNE,0,lambda,5e-05,k_density,300.0,0.6703499624758068,0.5896650472014852,0.6400328830430146,0.626683651301497,0.6437235849429237,0.13819018393106972,0.10830656516517563,0.11119434932954195,0.10420895093241132,0.16464921951080047
thyroid,DR-SNE,0,lambda,0.0001,k_density,10.0,0.6176906821503338,0.6277718529051626,0.5791355610854366,0.5808991981672395,0.6375903543073824,0.1075610392710046,0.1155180181818591,0.09518639071858138,0.09122011444591452,0.13921272650786348
thyroid,DR-SNE,0,lambda,0.0001,k_density,20.0,0.5849399612908323,0.6004715211122961,0.5397499703756369,0.5508452818264408,0.6293083698700478,0.09948349619996201,0.10898721161360238,0.0925032448729681,0.08510993913234846,0.13303592258911223
