dataset,method,seed,param1_name,param1_value,param2_name,param2_value,AUROC_kNN,AUROC_LOF,AUROC_IF,AUROC_centroid,AUROC_linear,AUPRC_kNN,AUPRC_LOF,AUPRC_IF,AUPRC_centroid,AUPRC_linear
shuttle,HIGH-D,0,,,,,0.7383655561104374,0.5523326436945614,0.8326251456564648,0.7944522127892322,0.9885902832275095,0.4184549745783094,0.29855647778211736,0.6419212399170329,0.6093843166462154,0.9712680765047869
shuttle,HIGH-D,1,,,,,0.7383655561104374,0.5523326436945614,0.8326251456564648,0.7944522127892322,0.9885902832275095,0.4184549745783094,0.29855647778211736,0.6419212399170329,0.6093843166462154,0.9712680765047869
shuttle,HIGH-D,2,,,,,0.7383655561104374,0.5523326436945614,0.8326251456564648,0.7944522127892322,0.9885902832275095,0.4184549745783094,0.29855647778211736,0.6419212399170329,0.6093843166462154,0.9712680765047869
shuttle,HIGH-D,3,,,,,0.7383655561104374,0.5523326436945614,0.8326251456564648,0.7944522127892322,0.9885902832275095,0.4184549745783094,0.29855647778211736,0.6419212399170329,0.6093843166462154,0.9712680765047869
shuttle,HIGH-D,4,,,,,0.7383655561104374,0.5523326436945614,0.8326251456564648,0.7944522127892322,0.9885902832275095,0.4184549745783094,0.29855647778211736,0.6419212399170329,0.6093843166462154,0.9712680765047869
shuttle,DR-SNE,0,lambda,0.0,k_density,40.0,0.4336246462628713,0.5345469786687593,0.5301293667213621,0.5374264583481962,0.576409597869254,0.23319100434504125,0.24493291688596625,0.25360481086348347,0.2570035599509746,0.34498180522719124
shuttle,DR-SNE,0,lambda,0.0,k_density,80.0,0.40486028869705837,0.5401759767900882,0.519591091769518,0.5436374878124183,0.576487122779482,0.2214747416133511,0.2522445162579279,0.24291501194272988,0.2604953205710087,0.3566562110466241
shuttle,DR-SNE,0,lambda,0.0,k_density,300.0,0.4196373451285344,0.541279398825236,0.5390392618487075,0.5521182611590688,0.5679731754298352,0.21754498938275285,0.2489774910767279,0.24188129807351505,0.2561876157410883,0.3448242375678704
shuttle,DR-SNE,0,lambda,5e-05,k_density,40.0,0.6450588571020903,0.526635157308982,0.6391996623148082,0.6454624146869278,0.5436305914246986,0.33762450958232487,0.2598272894293299,0.37154094344135347,0.37265506836466444,0.3067121975404839
shuttle,DR-SNE,0,lambda,5e-05,k_density,80.0,0.47395614848636175,0.5155284059832108,0.6436672136215549,0.6387703027276403,0.5614263632256069,0.27278677896622094,0.22862289589715223,0.4042731838086945,0.3933745580106206,0.37818889427614366
shuttle,DR-SNE,0,lambda,5e-05,k_density,300.0,0.4300118903236546,0.522072364509762,0.6383284583006349,0.6473195643385412,0.5667453806092602,0.24348263548591187,0.24153809697202108,0.3462142202109769,0.40507916985658954,0.38125971059160324
shuttle,DR-SNE,0,lambda,0.0001,k_density,40.0,0.7400732443937124,0.5263019904401798,0.7216117333713824,0.7344721885329718,0.49994910941475834,0.4659190207567918,0.28072867291489323,0.4242332619731862,0.403383469115277,0.27110074883706664
shuttle,DR-SNE,0,lambda,0.0001,k_density,80.0,0.4937254762074623,0.5201758578868517,0.7042270100592138,0.6853954721647524,0.5861113885519964,0.2674741500335975,0.24376878050596112,0.43435160623652425,0.43244798827946596,0.4076304702907948
shuttle,DR-SNE,0,lambda,0.0001,k_density,300.0,0.46559796437659035,0.5223632018263538,0.675350764547811,0.6940981189507978,0.5534829136049084,0.2559087544300789,0.24318253862710187,0.4374516679481246,0.49351751438566827,0.39218747323596426
shuttle,DR-SNE,0,lambda,0.0002,k_density,40.0,0.7273425126631947,0.5046192718365794,0.6815359920097026,0.6737492568547716,0.5674897148700386,0.4969195023502499,0.25247915422858697,0.4179994292649009,0.4119820460867688,0.3629408527489643
shuttle,DR-SNE,0,lambda,0.0002,k_density,80.0,0.5767572709329147,0.5480470143397304,0.6385427219328911,0.634988466386055,0.5725164680982616,0.3397957871637184,0.2876533884625879,0.4071256178562757,0.42491886555249236,0.3940531456367078
shuttle,DR-SNE,0,lambda,0.0002,k_density,300.0,0.43957432641316496,0.53489809992628,0.7314036527074267,0.7489424746141591,0.5600753846519702,0.23532027261410832,0.25087375505633314,0.5706462568287471,0.6104380807242027,0.39964274108159603
shuttle,DR-SNE,0,lambda,0.0005,k_density,40.0,0.626641696986992,0.5243276021973318,0.6418747473306223,0.6489019286104967,0.5468343202301966,0.35696269022207217,0.27112834459397317,0.3689310760317471,0.36599843517096703,0.3563618706613108
shuttle,DR-SNE,0,lambda,0.0005,k_density,80.0,0.5968809302989228,0.5513623932843452,0.6480669900834701,0.6466024589189318,0.5422722408503959,0.3540868467752918,0.3212360677439235,0.3927354329428267,0.36825184517238463,0.3180082649788748
shuttle,DR-SNE,0,lambda,0.0005,k_density,300.0,0.5037371287246439,0.537545956100925,0.7588831418991225,0.7753230600936958,0.5402665810563364,0.31926222882709526,0.26850182829856384,0.6290170506834197,0.6434138652420933,0.41052349011877876
shuttle,DR-SNE,0,lambda,0.001,k_density,40.0,0.598189103707403,0.5438392666048371,0.6233075313310028,0.6309274452450595,0.5520456112815391,0.33586786890348636,0.26555890587813,0.33994433290468773,0.3453185475720515,0.32146660227418966
shuttle,DR-SNE,0,lambda,0.001,k_density,80.0,0.5762276759173385,0.5474182540248745,0.6523690280849445,0.6469995957289958,0.5275101662267246,0.32975395486148185,0.30188556795823035,0.35599639978130204,0.3494481186601361,0.3169387752371955
shuttle,DR-SNE,0,lambda,0.001,k_density,300.0,0.4990373593969228,0.5339062091270124,0.7557009345794392,0.7550910798791943,0.5390287983638915,0.31383697910464375,0.26530127058823716,0.6179087313058836,0.6337542679587902,0.4036915560663509
shuttle,DR-SNE,0,lambda,0.002,k_density,40.0,0.5863277924425103,0.5373068416922309,0.5891050153385176,0.5856065254096217,0.535057905876198,0.290042939866764,0.26665671267959223,0.28164074373672177,0.2839124016841704,0.28598896969400356
shuttle,DR-SNE,0,lambda,0.002,k_density,80.0,0.5618437135858838,0.5051895317590545,0.645010225678343,0.6584095503079593,0.529902261539559,0.3126135548888165,0.2540066092754317,0.34044938176653106,0.342581568925526,0.3193584553976355
shuttle,DR-SNE,0,lambda,0.002,k_density,300.0,0.5443237972937623,0.510099284202516,0.753488739863499,0.7504197284250077,0.5484811300563601,0.3676995264801127,0.23426418930233533,0.631954423285277,0.6322480339970248,0.39647636554512095
shuttle,DR-SNE,0,lambda,0.005,k_density,40.0,0.5687610282751896,0.5419226653349505,0.5605322108867803,0.5605614610829707,0.5447354402986849,0.27077304604765584,0.2987544796408199,0.25974932312939486,0.26060178346815555,0.25170520595746104
shuttle,DR-SNE,0,lambda,0.005,k_density,80.0,0.5662476516610783,0.5547042876507098,0.626053601579035,0.6259456374402511,0.49646619580984996,0.31594937088586894,0.30534905143484237,0.3303908090441753,0.3287617126498763,0.2608459269895276
shuttle,DR-SNE,0,lambda,0.005,k_density,300.0,0.5371617797436445,0.4753819171957861,0.7566944900240185,0.7491317685667405,0.5310862999690851,0.36199733629630987,0.21189783401386428,0.6120879677540599,0.6079171182717514,0.34518630954701046
shuttle,DR-SNE,0,lambda,0.01,k_density,40.0,0.5667389598344866,0.5514301681291764,0.5191293905020095,0.519662077001736,0.525047680197855,0.27004071945009633,0.25741174651657794,0.2533416351899944,0.25688614252626274,0.23725848812757683
shuttle,DR-SNE,0,lambda,0.01,k_density,80.0,0.5490965732087227,0.5488883736415305,0.5957009345794393,0.6005256712087703,0.5178250219970988,0.3180374264838326,0.2681909909802961,0.3424393842917588,0.34486119240453444,0.30921319951088033
shuttle,DR-SNE,0,lambda,0.01,k_density,300.0,0.5471384747092816,0.46045528049273504,0.7559439727949395,0.7530013554968966,0.5279327483294096,0.3621769582621436,0.21936690165060793,0.6083593182175789,0.6053472615682541,0.35186709522521176
shuttle,DR-SNE,0,lambda,0.1,k_density,40.0,0.5967063803476731,0.5780188342726689,0.5919653515968704,0.5943812275570142,0.5215405103326913,0.3079261366151977,0.292732007743366,0.3086623606645632,0.3106841098152712,0.269173777583155
shuttle,DR-SNE,0,lambda,0.1,k_density,80.0,0.6781244203467218,0.6019190982378541,0.669788590045421,0.6731535516396756,0.5293148795510214,0.41784140234747247,0.3534076443568563,0.4099964974691888,0.4136244165437914,0.27696564760481074
shuttle,DR-SNE,0,lambda,0.1,k_density,300.0,0.6388402178307293,0.5501079641387838,0.7369846139211909,0.7459618082804214,0.5563744025112363,0.3994686189399359,0.330962987269262,0.5914604374598681,0.5932625447732809,0.3903433557637699
shuttle,DR-SNE,0,lambda,1.0,k_density,40.0,0.6174136167986493,0.5583347601721719,0.6189903926184871,0.6196556562269626,0.5258935578226439,0.31858655558926235,0.2838669471787531,0.3232534162874642,0.32361478042005754,0.2783763751422439
shuttle,DR-SNE,0,lambda,1.0,k_density,80.0,0.7050864426529689,0.6105093814653635,0.6997941784975388,0.6985738745808662,0.556657154407743,0.43602079077585637,0.3682777084043163,0.4274144219657676,0.43320456483891445,0.2990458223093628
