dataset,method,seed,param1_name,param1_value,param2_name,param2_value,AUROC_kNN,AUROC_LOF,AUROC_IF,AUROC_centroid,AUROC_linear,AUPRC_kNN,AUPRC_LOF,AUPRC_IF,AUPRC_centroid,AUPRC_linear
thyroid,HIGH-D,0,,,,,0.6351038827665205,0.6710688470197891,0.5901893984279338,0.5616048504957143,0.9849735355689853,0.12204076542941805,0.1244843076726147,0.09850651543210921,0.10287572442510502,0.9134919726728702
thyroid,HIGH-D,1,,,,,0.6351038827665205,0.6710688470197891,0.5901893984279338,0.5616048504957143,0.9849735355689853,0.12204076542941805,0.1244843076726147,0.09850651543210921,0.10287572442510502,0.9134919726728702
thyroid,HIGH-D,2,,,,,0.6351038827665205,0.6710688470197891,0.5901893984279338,0.5616048504957143,0.9849735355689853,0.12204076542941805,0.1244843076726147,0.09850651543210921,0.10287572442510502,0.9134919726728702
thyroid,HIGH-D,3,,,,,0.6351038827665205,0.6710688470197891,0.5901893984279338,0.5616048504957143,0.9849735355689853,0.12204076542941805,0.1244843076726147,0.09850651543210921,0.10287572442510502,0.9134919726728702
thyroid,HIGH-D,4,,,,,0.6351038827665205,0.6710688470197891,0.5901893984279338,0.5616048504957143,0.9849735355689853,0.12204076542941805,0.1244843076726147,0.09850651543210921,0.10287572442510502,0.9134919726728702
thyroid,DR-SNE,0,lambda,0.0,k_density,40.0,0.569308172374294,0.616978709957736,0.5020964174270253,0.48879804084212186,0.6357615436268119,0.09464234636589314,0.11078901300290583,0.07173822746511246,0.06972237818374832,0.11719418618891819
thyroid,DR-SNE,0,lambda,0.0,k_density,80.0,0.6530364972153099,0.6651735987676265,0.572331832365604,0.5511365880633566,0.6396660346802544,0.1338618542384306,0.14040622199711442,0.0859409457149703,0.0827898122155081,0.1269461389775252
thyroid,DR-SNE,0,lambda,0.0,k_density,300.0,0.6477347237034404,0.6100545088280602,0.6355492356914326,0.6585495911837895,0.6389501125725796,0.12231961282802425,0.10774248536634291,0.10701043834158362,0.1231069669632078,0.18755187033132753
thyroid,DR-SNE,0,lambda,5e-05,k_density,40.0,0.5863046569498755,0.6201416044555043,0.5200872931231978,0.5150580637516293,0.5713986649287041,0.09970783242970742,0.12541247024314894,0.07557012533836609,0.07404215413177362,0.09675314574807037
thyroid,DR-SNE,0,lambda,5e-05,k_density,80.0,0.6509914286842833,0.6516347711024214,0.5828563810878066,0.5581782991665679,0.6492722281470948,0.14569830929323832,0.1268950710874408,0.08976410010619128,0.08360914111028189,0.12855139168338978
thyroid,DR-SNE,0,lambda,5e-05,k_density,300.0,0.6454072362444208,0.5864705533831022,0.6372170873326224,0.6615001777461784,0.6435389264130822,0.12089884194404846,0.10627725013166316,0.10763100960030247,0.12499028245756202,0.18404989383904968
thyroid,DR-SNE,0,lambda,0.0001,k_density,40.0,0.6489591973772564,0.6486283919895722,0.5837367184105542,0.5624037208200023,0.659690129162223,0.15798190818086916,0.14786201213898376,0.0934117195108745,0.08815780475554784,0.1414336881625354
thyroid,DR-SNE,0,lambda,0.0001,k_density,80.0,0.6111693723584943,0.5944567879290595,0.5472538215428369,0.5300707034798752,0.6380090453055259,0.11758519048653987,0.11216166589513654,0.08213850160801667,0.07910777863784593,0.12293346628426927
thyroid,DR-SNE,0,lambda,0.0001,k_density,300.0,0.6261563376387408,0.5826238298376585,0.6346832168108386,0.670802721491488,0.6437107477189241,0.12491199396971966,0.11216792760354775,0.10723438364985216,0.12909256421717713,0.20450343580669544
thyroid,DR-SNE,0,lambda,0.0002,k_density,40.0,0.5360834617055734,0.5477233676975946,0.4844709088754591,0.48164573211675954,0.6057678634909349,0.08099379028340531,0.0857444503505043,0.06955655888533281,0.06930752663345467,0.1048176846865504
thyroid,DR-SNE,0,lambda,0.0002,k_density,80.0,0.5736076549354189,0.5885788205553582,0.5258753999289014,0.5084913299364063,0.6061203934115416,0.1045126009622879,0.10648296827643734,0.08100482341773943,0.07849242530237457,0.10471259559426035
thyroid,DR-SNE,0,lambda,0.0002,k_density,300.0,0.671694908559466,0.6215581427499309,0.6547117549472686,0.6712574554647075,0.6446449026345933,0.15897542407597062,0.14046631479796554,0.12488240081969712,0.14301658815454288,0.21296803842447123
thyroid,DR-SNE,0,lambda,0.0005,k_density,40.0,0.6070426985819805,0.5957390291108741,0.5292728206343563,0.4851009203302129,0.6592704506853103,0.09822491050126664,0.10211178354292641,0.07588467674775591,0.06937701340350366,0.12323212796685343
thyroid,DR-SNE,0,lambda,0.0005,k_density,80.0,0.6342852628668484,0.6575438440573527,0.5721827230714539,0.5486629537464944,0.6243038274677095,0.13206959109558003,0.1372534871103669,0.08712448307669647,0.08228201288425546,0.11507815782151389
thyroid,DR-SNE,0,lambda,0.0005,k_density,300.0,0.6456165817434925,0.5992465536990954,0.6360005134889599,0.6670132717146582,0.645485247067188,0.13392359273000243,0.11614115779766884,0.11680377490105831,0.13522752029849852,0.21840172056969864
thyroid,DR-SNE,0,lambda,0.001,k_density,40.0,0.5400086898131691,0.5714445826914721,0.4869055377809377,0.4810532448552356,0.5584152940711775,0.08579394642554183,0.0934256735699976,0.06997430831316537,0.06934616015965261,0.09108835183485012
thyroid,DR-SNE,0,lambda,0.001,k_density,80.0,0.6102075680372872,0.6260403088833589,0.548091203539124,0.5178309041355611,0.6197752498321286,0.11869713737754362,0.1244004221418067,0.08523066848471493,0.07921119735928137,0.11286373885215219
thyroid,DR-SNE,0,lambda,0.001,k_density,300.0,0.6760062408658214,0.5978053284354387,0.6491863174941739,0.6619366433621677,0.6365574515147925,0.15600138415723894,0.11548151297873557,0.11981268067699352,0.12953764813953672,0.2159102927058216
thyroid,DR-SNE,0,lambda,0.002,k_density,40.0,0.6159991310186832,0.6166706165817435,0.5285480112177587,0.5055851799186318,0.6508808310621322,0.10892203612339718,0.10912504783525458,0.07663289607225213,0.07213767203682642,0.12526940647206825
thyroid,DR-SNE,0,lambda,0.002,k_density,80.0,0.6130110202630643,0.5986027175415728,0.5527891337836236,0.5256132243156773,0.6238367500098747,0.10899566326142714,0.10572201652172525,0.08126873231734967,0.07737584957230675,0.11471584197121529
thyroid,DR-SNE,0,lambda,0.002,k_density,300.0,0.6565845084330686,0.6184752340324683,0.6364567286803333,0.6606213216415846,0.6482531500572738,0.1316785589339051,0.11470859413767366,0.11209052474171831,0.12958541475862556,0.2129062117519322
thyroid,DR-SNE,0,lambda,0.005,k_density,40.0,0.6266718015562666,0.619303234980448,0.5466652841963898,0.49538156179642134,0.64331773116878,0.10830704000487605,0.10876436374142656,0.07883303460744888,0.06975503188644643,0.12438315295345609
thyroid,DR-SNE,0,lambda,0.005,k_density,80.0,0.6470109017656122,0.6077704704348856,0.5895949362088716,0.566539281905439,0.6436337243749259,0.13395505672527186,0.10853098283322185,0.09049364095399934,0.08430494022157964,0.13131349407420817
thyroid,DR-SNE,0,lambda,0.005,k_density,300.0,0.6464322392068571,0.6330074653394951,0.6496178457163171,0.6705484457084172,0.6414346091559031,0.15167620053201447,0.14535459034027137,0.12198461932327133,0.1503196418821386,0.22335854028429794
thyroid,DR-SNE,0,lambda,0.01,k_density,40.0,0.5766481020658055,0.6066042580084527,0.5219037603191532,0.4794821661334282,0.6039005411383656,0.09378117057396898,0.11087587541881445,0.07593810000558673,0.06954698101544399,0.10332147641923202
thyroid,DR-SNE,0,lambda,0.01,k_density,80.0,0.6379813958999883,0.6368250582612474,0.5812946834143066,0.5629547339732196,0.6183651301497018,0.14971097297447744,0.1446012166308875,0.08938944522344233,0.08844653731904165,0.11681143316402853
thyroid,DR-SNE,0,lambda,0.01,k_density,300.0,0.6864280917960264,0.5984565706837303,0.6667950389066635,0.6771507287593317,0.6449460836592014,0.19017480238805598,0.12451190063693521,0.1322113521121237,0.14262637960642413,0.21753772359190715
thyroid,DR-SNE,0,lambda,0.1,k_density,40.0,0.5933769798949323,0.6085347790022515,0.5302869613303315,0.5198660978788956,0.6500266619267685,0.09989440311877056,0.10023180837030518,0.07711008358130424,0.07462394200640862,0.12747371854601736
thyroid,DR-SNE,0,lambda,0.1,k_density,80.0,0.6054133586127898,0.645384524232729,0.5760595647193586,0.5759568669273611,0.6238792115969506,0.09720872717094793,0.13220697654440822,0.08545267587823946,0.08731966490217553,0.12693855688993055
thyroid,DR-SNE,0,lambda,0.1,k_density,300.0,0.6245131729667812,0.5815874708693763,0.6314082434727653,0.6334459059130229,0.6386183197061263,0.13377671597992652,0.10801498323064684,0.11069166370596477,0.10716776798649949,0.15821456612044568
thyroid,DR-SNE,0,lambda,1.0,k_density,40.0,0.566877987123277,0.582645554370581,0.5394048465457992,0.5490925070110992,0.6214865505391634,0.09061558820241634,0.10524126793373392,0.0808489725983238,0.08302205815177494,0.11466760319864815
thyroid,DR-SNE,0,lambda,1.0,k_density,80.0,0.6063939250306118,0.6345005332385353,0.5828479875182684,0.5920137654540427,0.5621203144132402,0.12093661353542215,0.14217988462115175,0.10319387061703526,0.09627897147155112,0.11580860723095035
thyroid,DR-SNE,0,lambda,1.0,k_density,300.0,0.6620581032507801,0.6257944266698265,0.5854781372200497,0.569480981158905,0.6488012007741835,0.1525176399306895,0.1306326337696649,0.09519606478604911,0.10300680227745447,0.16608430546108371
thyroid,DR-SNE,1,lambda,0.0,k_density,40.0,0.6184500533238535,0.6125686297744598,0.5449959513370464,0.5152397598451633,0.6572787060078209,0.13350134154415033,0.11463668227525174,0.09587113801997924,0.09025090594582333,0.16870929651457062
thyroid,DR-SNE,1,lambda,0.0,k_density,80.0,0.5555920922700162,0.5772282458427144,0.5424309752340325,0.5374308764861555,0.6750207370541533,0.09575951753919937,0.10446404026848931,0.08746616087020831,0.08712289717046194,0.1643718370881546
thyroid,DR-SNE,1,lambda,0.0,k_density,300.0,0.5147973693565588,0.5770840739424102,0.473318817395426,0.4674635620334163,0.6339060710194732,0.07616364344017176,0.09602476333412249,0.06816952211377722,0.0688220144242672,0.11069271178848261
thyroid,DR-SNE,1,lambda,5e-05,k_density,40.0,0.5946251530592092,0.5837115377019394,0.5060473199826204,0.47629260970889126,0.6448305486432041,0.11726498139782489,0.10843478429445914,0.08308474969498804,0.08022204728233623,0.13786727667788576
