dataset,method,param1_name,param1_value,param2_name,param2_value,AUROC_kNN_mean,AUROC_kNN_std,AUROC_LOF_mean,AUROC_LOF_std,AUROC_IF_mean,AUROC_IF_std,AUROC_centroid_mean,AUROC_centroid_std,AUROC_linear_mean,AUROC_linear_std,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_linear_mean,AUPRC_linear_std,n_seeds
cifar,DR-SNE,lambda,0.0,k_density,40.0,0.6299495129616833,0.03515673128566884,0.5425441529396904,0.018055210804802557,0.6131384715689989,0.03785506148252479,0.6017231163022239,0.048034555116715075,0.7447319246000788,0.07412927796066726,0.13862415703457592,0.012426482296771046,0.11293679258442628,0.004923955157059564,0.13526805210964177,0.01115857514010591,0.13441775521472993,0.012081927729485326,0.2513220812912674,0.0821220255718474,5
cifar,DR-SNE,lambda,0.0,k_density,80.0,0.6635117840239544,0.06652621043044066,0.5684218249634071,0.054641830051727146,0.6542575916308169,0.06537673354346583,0.6495617212402203,0.06566138116554963,0.7618493153229462,0.08536060248602245,0.15877578752540705,0.035530315802727204,0.12915040256106666,0.021886053067648445,0.156438326587785,0.0315230031511848,0.1547574943261904,0.03214054048034399,0.2911943438890997,0.13057543641319586,5
cifar,DR-SNE,lambda,0.0,k_density,300.0,0.7108021457920037,0.09392090225312504,0.5593588629085586,0.057686126888215214,0.695434247969745,0.10373410324490076,0.6906211224542868,0.10943853206122162,0.8181474711900675,0.05907132071818531,0.17846237579276764,0.06258173861631558,0.12625176778134026,0.028321660973064308,0.17428192367451326,0.0637189126185492,0.17285318619893925,0.05995415866593021,0.3778299140635954,0.11798268237226817,5
cifar,DR-SNE,lambda,5e-05,k_density,40.0,0.6145272830617657,0.028787988115962858,0.535646811775108,0.02313018545021027,0.5963888672179747,0.033722526558771525,0.5817580745826182,0.041010201767025405,0.7270164166462342,0.0745314577689358,0.13943159793638382,0.019302059173298133,0.11369204741711755,0.011976969666765671,0.13605114848918723,0.01894229448914095,0.13455581970976144,0.01857484271854192,0.23744502204893797,0.0728730335339629,5
cifar,DR-SNE,lambda,5e-05,k_density,80.0,0.6659416817124727,0.06745049100135417,0.5713933252346031,0.04464744593714296,0.6524772641151951,0.07130946583318037,0.6462323722592485,0.07450686208857686,0.7649746636054953,0.06975461457262845,0.16279442212483533,0.03889694414887176,0.13222164407459874,0.0220691553055037,0.16052575515252238,0.0365241317384865,0.15685347469141983,0.03559645565166746,0.3115094680863731,0.13494644856892415,5
cifar,DR-SNE,lambda,5e-05,k_density,300.0,0.6959211934110515,0.10077499967273695,0.5489298438208174,0.05395274086648511,0.6867765474890221,0.09496531482359716,0.6886815137195461,0.0997445674375156,0.8147304943197436,0.0637619632880887,0.17098562710792556,0.059754181654324875,0.12375207438278472,0.029931508334801984,0.17040934096525912,0.06258620839035701,0.16749701598571096,0.057649645674529584,0.3767757251981031,0.09891997440250552,5
cifar,DR-SNE,lambda,0.0001,k_density,40.0,0.6248784261715297,0.05460737044079014,0.5400173862648507,0.030167458454595626,0.6031464774238608,0.056436708434513004,0.5942417285216474,0.061787639587876,0.739082224401697,0.06520121838450556,0.13989429341987136,0.026450423453835647,0.11588899590631654,0.014696658469278581,0.1380412057727076,0.024303663552293908,0.13688593897442586,0.025592049169790732,0.25282745324127803,0.09112881475126441,5
cifar,DR-SNE,lambda,0.0001,k_density,80.0,0.6625257264709598,0.04626524631565191,0.5648519288351945,0.04331483729218299,0.6525183150183149,0.04879703426833335,0.64811012601327,0.0602534331727669,0.7785822021116139,0.0707510353315277,0.15682043174705418,0.02242037274634954,0.12841767054252234,0.027239783247555757,0.15486507784719533,0.020463193491587248,0.15373909111651624,0.020733877126728854,0.30839767561944575,0.0922880327882654,5
cifar,DR-SNE,lambda,0.0001,k_density,300.0,0.7096674876847291,0.07379296631989805,0.5618555379711566,0.037068695363362957,0.6990320531395582,0.07771034658666047,0.7032231924600079,0.08298398361572962,0.8250194109474028,0.05434647102857598,0.17572785905562557,0.051267432206880396,0.12786713082680487,0.016572890186161055,0.17551445786960862,0.052254983848910225,0.17455136133964325,0.05076140439877419,0.3949183409350244,0.08246781274966002,5
cifar,DR-SNE,lambda,0.0002,k_density,40.0,0.6234816738366434,0.06668204053389397,0.5350501805496735,0.04355810094632336,0.610015538045457,0.06248584154644155,0.6000368715125307,0.07288247071097767,0.7308418592901351,0.07610223630265305,0.1370795198742153,0.02786290137056281,0.10987239408389846,0.017176532423452198,0.1363126569948998,0.0262668756516757,0.13468928162416297,0.027180067760338104,0.2398136637854563,0.08995939928080614,5
