dataset,method,param1_name,param1_value,param2_name,param2_value,AUROC_kNN_mean,AUROC_kNN_std,AUROC_LOF_mean,AUROC_LOF_std,AUROC_IF_mean,AUROC_IF_std,AUROC_centroid_mean,AUROC_centroid_std,AUROC_linear_mean,AUROC_linear_std,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_linear_mean,AUPRC_linear_std,n_seeds
pbmc,DR-SNE,lambda,0.0,k_density,40.0,0.8795505617977529,0.036308551511414745,0.8329862671660425,0.06556050383471451,0.8783021223470662,0.034432261068286285,0.8804794007490637,0.030447536051403958,0.7028664169787765,0.11261816111872071,0.47608898463650107,0.1934047298210186,0.2835074603147734,0.10409269661062936,0.45971959359303166,0.1362827304089558,0.4961692787248534,0.19347422020941482,0.38245730902624603,0.08651102907652199,5
pbmc,DR-SNE,lambda,0.0,k_density,80.0,0.9049213483146067,0.017738875783052898,0.8854843945068664,0.04058814936368635,0.9044119850187267,0.013955812616636499,0.906354556803995,0.01638102184405565,0.6544119850187265,0.10180021651027944,0.3989756943326875,0.21252133795154202,0.24131124230381656,0.17089408254635347,0.4129450062412262,0.10868452760136733,0.44527077302083307,0.20125002017777235,0.30597354263141724,0.07272087118860407,5
pbmc,DR-SNE,lambda,0.0,k_density,300.0,0.8981148564294632,0.014677838962534818,0.7532933832709114,0.06449169610590565,0.9004394506866417,0.012503529031872442,0.902079900124844,0.015135495725456562,0.6264319600499376,0.16065208387237717,0.17576013568882942,0.049993086789652384,0.05335461226005446,0.023774875448274297,0.2044188347138915,0.033328483742503,0.19675946035317285,0.044982637967877305,0.17027166197336943,0.06413395766577971,5
pbmc,DR-SNE,lambda,5e-05,k_density,40.0,0.8952833957553059,0.017180199360412304,0.8566866416978776,0.027849006853377736,0.894214731585518,0.015795459495846948,0.8942596754057428,0.0164967950042149,0.7544719101123596,0.10085415291232727,0.46106019981615914,0.022423579847151993,0.24562357527919096,0.02554786611918596,0.37683831223885045,0.07953217358896014,0.48055827219785563,0.02119694587679708,0.3347625026790584,0.1719540198632194,5
pbmc,DR-SNE,lambda,5e-05,k_density,80.0,0.9094057428214732,0.020773984817601218,0.8672958801498127,0.04564117367622944,0.9086192259675405,0.01906381675763263,0.9090961298377028,0.01808689251635704,0.6274706616729089,0.1899284550672601,0.41719822776505805,0.1759187039790627,0.2552798731406297,0.13955288120146053,0.4036162082423598,0.12330387964028416,0.4616702367157523,0.16414880727106093,0.291859564643265,0.08236586701265991,5
pbmc,DR-SNE,lambda,5e-05,k_density,300.0,0.897665418227216,0.01499365385239031,0.7950374531835206,0.06834224414894724,0.8988189762796506,0.013607493491038944,0.9011360799001249,0.013617421624699968,0.6885692883895131,0.09641500886346935,0.18598027054719968,0.052542329843730896,0.056016556928119375,0.020548103568373017,0.21419383072152703,0.06756024204360317,0.20978446783494792,0.05514736333562278,0.140801823830895,0.11283055090908782,5
pbmc,DR-SNE,lambda,0.0001,k_density,40.0,0.9017528089887641,0.027794079296981335,0.877350811485643,0.05243049179466977,0.9001722846441949,0.025734857655747206,0.9012584269662922,0.024621304607444546,0.6747715355805244,0.11643821015141725,0.46321226050519126,0.057323411403705934,0.2637121243753887,0.11326873541374868,0.41287726713055434,0.05484521287075221,0.5063306936442322,0.08655644400572514,0.3526637064198265,0.14711521925391036,5
pbmc,DR-SNE,lambda,0.0001,k_density,80.0,0.9165243445692883,0.013439259621280227,0.8683770287141073,0.05145227558140833,0.9176978776529339,0.010584814202946272,0.9180624219725344,0.010941766643954076,0.645892634207241,0.12804258209289904,0.41068930720530694,0.11228019705638276,0.1987982960459577,0.08203158957174819,0.44626638874966174,0.06661827377626445,0.46212164225003527,0.09578371291804548,0.29292450166515993,0.12608886931929975,5
pbmc,DR-SNE,lambda,0.0001,k_density,300.0,0.8990112359550562,0.024257563079125886,0.8482646691635456,0.04857150311244943,0.8984094881398252,0.02239553813801023,0.8993558052434457,0.024326499584114626,0.718354556803995,0.0776272800855133,0.19918807144358577,0.03284057282221229,0.07220664197509977,0.03048844139263545,0.2412845627117231,0.020010979597315483,0.214492129248088,0.021034519700242043,0.14627600988002787,0.0821462277403531,5
pbmc,DR-SNE,lambda,0.0002,k_density,40.0,0.8998651685393257,0.019548926241770306,0.88296379525593,0.01133810068722677,0.899338327091136,0.01971940246193288,0.8998576779026217,0.020527033777730862,0.7022147315855182,0.13769934777829787,0.474516626916058,0.06924387143206004,0.31420925247345177,0.10260673626555418,0.4756394798554634,0.04632676401472881,0.5018376264491934,0.07973994243689358,0.380500126963803,0.16703324297957542,5
