dataset,method,param1_name,param1_value,param2_name,param2_value,AUROC_kNN_mean,AUROC_kNN_std,AUROC_LOF_mean,AUROC_LOF_std,AUROC_IF_mean,AUROC_IF_std,AUROC_centroid_mean,AUROC_centroid_std,AUROC_linear_mean,AUROC_linear_std,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_linear_mean,AUPRC_linear_std,n_seeds
synthetic,DR-SNE,lambda,0.0,k_density,40.0,0.552285698226257,0.14843754345009672,0.5105645222856731,0.060499672973313504,0.4771561888894202,0.1868421044300391,0.4413597662414146,0.136659682842656,0.617910417710082,0.05596264098724867,0.09675210206140845,0.0910775844766297,0.05528252557057528,0.010947358703833022,0.06514237122080827,0.02920302314276565,0.056205340930103806,0.021554626055472932,0.09585776799834282,0.06321041322477637,5
synthetic,DR-SNE,lambda,0.0,k_density,80.0,0.4586943445422353,0.07491685174957811,0.45148578144780316,0.07020304783508043,0.5083328090040344,0.1094668836711265,0.4911118214025347,0.10006900666271977,0.6495458469344353,0.022225688258768802,0.045297923231524415,0.00863933477322802,0.04704444544155808,0.011887417311798702,0.05586499647644576,0.017503357572920788,0.051310073883292465,0.012450224669971385,0.10275108233280297,0.06037999170036576,5
synthetic,DR-SNE,lambda,0.0,k_density,300.0,0.48086181280353424,0.01972605743380235,0.512265865994854,0.0269934219410205,0.5068448882926915,0.09417159855912079,0.48510292374406355,0.10905276775166978,0.6653711957812045,0.0879359390242213,0.047338346221656544,0.003098302520582833,0.0525780456496064,0.003476097902741586,0.05863582231640167,0.02664306661416782,0.0562104762931939,0.026106714912878224,0.14207851781766895,0.07560025731723248,5
synthetic,DR-SNE,lambda,5e-05,k_density,40.0,0.5351543080153591,0.09603979871906218,0.48488555778989745,0.03645457860227574,0.4375906355626137,0.12309989276204825,0.417757900803608,0.09367587928449315,0.5939097264343343,0.0699038534452737,0.06689864251856868,0.024223562497815654,0.050447802879453885,0.004301357282704075,0.07083617943805576,0.03828598340365653,0.07883122694437143,0.06314870070800323,0.08414217304831424,0.028847289066312825,5
synthetic,DR-SNE,lambda,5e-05,k_density,80.0,0.45598578522297417,0.0624232184832089,0.4549994588921635,0.0425654308351869,0.4784353845934435,0.0990491151736814,0.4669190997643454,0.10245432568475317,0.6368129503464349,0.05121437201618207,0.04589733939803794,0.007139548978827173,0.04514316813545686,0.004232857050603483,0.07301057610075544,0.060212761477545694,0.05317975437284124,0.01851834604890946,0.09297842783267386,0.05110730795938407,5
synthetic,DR-SNE,lambda,5e-05,k_density,300.0,0.49189705696061825,0.02186799515194741,0.5193426336767061,0.018920593122528265,0.5077771038398522,0.0993112337689208,0.4842332082493358,0.11233779125150507,0.6657260618507229,0.08584550189186241,0.048529326444165,0.0039475892868718375,0.0529169571003318,0.0025956990128869904,0.05979340507838789,0.029555099488635734,0.05624838269721426,0.02664928546752279,0.14910906800379037,0.07957182968811254,5
synthetic,DR-SNE,lambda,0.0001,k_density,40.0,0.5600669128078127,0.14964316327878333,0.5111706469552407,0.027733800159129157,0.474436304057302,0.14990290951960494,0.44232629389789757,0.10502794125462807,0.6165662890656789,0.06556544505820676,0.09244523118137256,0.05405610340965903,0.055757865341720184,0.009503847845855139,0.0587599901883713,0.025475957544301073,0.06539785507975868,0.04734483728108904,0.07628737543808692,0.02922103728143057,5
synthetic,DR-SNE,lambda,0.0001,k_density,80.0,0.4625919988187909,0.04536476623196042,0.4434392142946429,0.038551309709950556,0.4623320992718954,0.06862113292563903,0.4438131240042987,0.08433509656828922,0.640131912862343,0.028702957760032448,0.04778565305906636,0.006599296268957163,0.044836987631912364,0.00534953182392946,0.06741365386122816,0.04717485125090531,0.050238496688060644,0.014976430633044624,0.0929734536585817,0.054082118522357725,5
synthetic,DR-SNE,lambda,0.0001,k_density,300.0,0.4964923628291634,0.023782545663906307,0.527428798178522,0.02796092227422835,0.5105979115754292,0.10108842318287706,0.4858198706542539,0.11100445795584996,0.6647257254410448,0.08711042564719444,0.0488020703165471,0.003055935834109474,0.05406975697779942,0.004826185323406162,0.060559050226825416,0.02973112267936983,0.05591387352085808,0.02525585016229964,0.1512371799436196,0.07968576380932554,5
synthetic,DR-SNE,lambda,0.0002,k_density,40.0,0.5060849883263325,0.06335849543677625,0.48269788816936926,0.03532444882202351,0.44365012051184605,0.13607400781049978,0.42577351155495935,0.11501634688155046,0.6006006716448588,0.07572727321427775,0.058875056556177995,0.0201177782867088,0.04786074816752262,0.004122190948289618,0.04841115216345132,0.01786727142473634,0.07057407595334027,0.06600477073208862,0.07249046166148868,0.023384284358690107,5
synthetic,DR-SNE,lambda,0.0002,k_density,80.0,0.4581659883942856,0.052133471876314195,0.44844282587485385,0.025179434218821364,0.4524490372894608,0.07229369829262963,0.4406460072533617,0.06528693417068494,0.6391554019760084,0.03418487961275333,0.0450160022979342,0.005981458981115522,0.04336871966642179,0.003599612976930492,0.04641692391239394,0.009681364286800867,0.04506548434877918,0.007823898817772462,0.09740787845047835,0.061089024998645707,5
synthetic,DR-SNE,lambda,0.0002,k_density,300.0,0.48905225591632207,0.020553919476421424,0.5100764346278813,0.02566350095240311,0.5137270249387793,0.09510356441841802,0.48567775644107086,0.11106768028905323,0.6650925042722351,0.08571033418160863,0.04890060731234332,0.004382780565673977,0.0531208272276509,0.005287383891924071,0.06020641284565322,0.028846707051880634,0.05625654627400776,0.026333830674985615,0.15055721673596106,0.07850180290881266,5
synthetic,DR-SNE,lambda,0.0005,k_density,40.0,0.5518195904526765,0.09144568685513534,0.4606686750576133,0.05143131048206585,0.4646689300913843,0.1335728474111707,0.4398365267084955,0.11961032003992636,0.6198929697088672,0.062300624926447036,0.07186140144621193,0.028653553503632655,0.047174534364155696,0.008076585984260552,0.05178237171256461,0.021438168541804064,0.06890107016586874,0.06589962715133935,0.0685694793603787,0.017962484996395092,5
synthetic,DR-SNE,lambda,0.0005,k_density,80.0,0.4382622804213761,0.08267957981985817,0.43427058244176375,0.017470610670244156,0.41711637341977637,0.08087110151991359,0.41310135327294734,0.06629135990389858,0.6261307266197371,0.05099063349213681,0.04538816551812402,0.00917798731622468,0.04168472433252462,0.0013114958919406353,0.044860186934159496,0.011423966158454623,0.04364456318531324,0.008751886928171812,0.0967977360047503,0.06483615576437086,5
synthetic,DR-SNE,lambda,0.0005,k_density,300.0,0.4938277632783249,0.0267070367957472,0.5257634444324198,0.02939242472655935,0.5094297058974042,0.09732534603511765,0.48796685232118475,0.10825985131995224,0.6657512296570719,0.08576389723206179,0.049389886928652496,0.0037923250464536873,0.05644263215515988,0.006228478020629388,0.06054506808510368,0.02977423077576428,0.05618094673500764,0.025196298080102503,0.14732690168911539,0.07527546607579552,5
synthetic,DR-SNE,lambda,0.001,k_density,40.0,0.5540846930240713,0.14283142558621043,0.4787858882431948,0.014001362461180732,0.4559832684423393,0.16711450007162956,0.40790143280321545,0.14616390518303288,0.6236010265109282,0.03583895258024874,0.07934970154130529,0.05571541836868718,0.04789048642326828,0.0031913345963150088,0.053632916320856275,0.032837442797301226,0.06256950263120012,0.05816825019758221,0.06342583224845799,0.00578604117259027,5
synthetic,DR-SNE,lambda,0.001,k_density,80.0,0.4504757134863368,0.07372931928673428,0.44948577976994947,0.028813968918181013,0.4585044114969895,0.09485050757314174,0.4407631214455717,0.07385696255746883,0.6470441669833615,0.029122145819239817,0.04442648556899846,0.0074065760651607715,0.0453747110311055,0.00484482174811915,0.046370480530876425,0.008481054495464308,0.0455280702366563,0.00754948694208445,0.10026192985147317,0.06135008487947158,5
synthetic,DR-SNE,lambda,0.001,k_density,300.0,0.4851064472369524,0.046044690863499216,0.5112948081332283,0.02952746741826861,0.5060431258751056,0.10325111325064201,0.49103145220759414,0.1110306037186721,0.6655815986422807,0.08646129451187018,0.04719371599706238,0.006096783770942265,0.05362706969782218,0.00443417600370464,0.06135522896251999,0.03257485109029662,0.05785311486306932,0.028566738265222998,0.1492272927783606,0.076850381403003,5
synthetic,DR-SNE,lambda,0.002,k_density,40.0,0.5555306673914995,0.11034625531939679,0.4994104021899347,0.036397492523050246,0.46497866189485054,0.1581541554804924,0.42601109564689227,0.12303430176028629,0.6293186487572557,0.05555475569854028,0.07453812473497504,0.03903129891885625,0.0518516274679555,0.009444808933052157,0.05793915197622879,0.03203156258727236,0.07034166448978882,0.06565401740773077,0.09731967673213278,0.059388582418983586,5
synthetic,DR-SNE,lambda,0.002,k_density,80.0,0.4536517228621836,0.07085606871693026,0.43814399173153673,0.029622616704911665,0.46385290591686734,0.08109734195418727,0.4486329267054754,0.07057094099210474,0.6278285468360292,0.05699954561064637,0.045629281053928016,0.008840343016990567,0.04234504985219538,0.0029173251285611965,0.0511456852794037,0.014183312912032819,0.04762839355537438,0.00903333397269159,0.12699952100572418,0.08532368146655436,5
synthetic,DR-SNE,lambda,0.002,k_density,300.0,0.5011569640578558,0.040912297107973776,0.5226652874708788,0.028167166957803965,0.5129615880550235,0.09812542827179915,0.4961611544976129,0.10949983689074516,0.6660104580624648,0.08451133997659756,0.05056543905108254,0.0051202735825728474,0.05622541331714794,0.005714275139967831,0.0630138272857611,0.034022476709362294,0.058692239723490844,0.028618542456036667,0.15097215932895464,0.0769967670331722,5
synthetic,DR-SNE,lambda,0.005,k_density,40.0,0.5811592123818896,0.042928198222297785,0.5157415400516275,0.07477213573587974,0.458061961461377,0.12609346705552604,0.40037181239246006,0.14001598032178506,0.6210535411522996,0.05531127419548899,0.06540222240574978,0.009688650101031045,0.05736725922456744,0.013607206500579175,0.04958413452938598,0.016261737730002595,0.05823411867586166,0.041151074897761854,0.0732256149273835,0.031670366042970494,5
synthetic,DR-SNE,lambda,0.005,k_density,80.0,0.4422678206944804,0.08741033561865544,0.45399375335046416,0.0112124163693589,0.4292111822241461,0.08827897918918849,0.4145629316803118,0.08772070601137995,0.6440602718626443,0.023862460026642694,0.04600166374303768,0.010831792004366469,0.043943291580153844,0.0018922272556987547,0.047023547872095214,0.017876746721308193,0.044262773209973884,0.011400079753762057,0.11093618992482934,0.056844814139419844,5
