dataset,method,param1_name,param1_value,param2_name,param2_value,AUROC_kNN_mean,AUROC_kNN_std,AUROC_LOF_mean,AUROC_LOF_std,AUROC_IF_mean,AUROC_IF_std,AUROC_centroid_mean,AUROC_centroid_std,AUROC_linear_mean,AUROC_linear_std,AUPRC_kNN_mean,AUPRC_kNN_std,AUPRC_LOF_mean,AUPRC_LOF_std,AUPRC_IF_mean,AUPRC_IF_std,AUPRC_centroid_mean,AUPRC_centroid_std,AUPRC_linear_mean,AUPRC_linear_std,n_seeds
pbmc,DR-SNE,lambda,0.0,k_density,40.0,0.9089213483146068,0.011171331010035975,0.8586267166042447,0.031786152263980426,0.8982796504369539,0.01702587055825383,0.8893533083645444,0.021635789579545612,0.5785343320848939,0.06377755641802815,0.16637992433218018,0.011964126389246283,0.09040443957310292,0.04627520330415814,0.19142510533484694,0.04014679111818365,0.18572604319431846,0.023944282179142042,0.10918641978399739,0.06769225991430866,5
pbmc,DR-SNE,lambda,0.0,k_density,80.0,0.9110112359550563,0.011479636653496187,0.8735131086142323,0.023459972132130025,0.8994606741573034,0.015844429002482136,0.8937777777777779,0.019768912753509647,0.5770187265917603,0.06580491031449728,0.19506688744648976,0.025131877370975674,0.09724632777808331,0.044905286648392044,0.2579020879328505,0.05921218616237673,0.22329378564770686,0.041535638938092374,0.12228118427693553,0.07401619212163311,5
pbmc,DR-SNE,lambda,0.0,k_density,300.0,0.9142297128589263,0.013969171105289543,0.8913370786516854,0.024149287349885817,0.9030037453183521,0.017430076112641208,0.8974207240948815,0.02093101839386881,0.5830187265917604,0.06950446193818763,0.22356505576795857,0.021166258564381615,0.12208121451844063,0.03651334643085978,0.2764847833314551,0.023210968136671502,0.2709061706388131,0.037576205085075115,0.15317040400988707,0.08781422586772984,5
pbmc,DR-SNE,lambda,5e-05,k_density,40.0,0.9185617977528089,0.013191422649770865,0.8812234706616728,0.018837590305505247,0.9032534332084895,0.022219836733189266,0.8973370786516852,0.021788271974211234,0.5767640449438203,0.06198002124705824,0.4467801792240218,0.03971245266705078,0.18992457044281175,0.07694783181856563,0.49209544857951687,0.1114765765254777,0.47951531295876426,0.0898134011982126,0.17964384962106963,0.12517253435498102,5
pbmc,DR-SNE,lambda,5e-05,k_density,80.0,0.9181897627965043,0.011559319009232575,0.8942671660424469,0.017720148759649383,0.9022596754057428,0.01698115620027913,0.8972833957553059,0.0211313167844619,0.5729238451935081,0.07034181742107343,0.4541991100423054,0.04262827466436373,0.1789511581476574,0.07926763595379933,0.4883530177275093,0.09539478229043855,0.5321202354217677,0.04638791829565328,0.20117601420086412,0.12555914091882348,5
pbmc,DR-SNE,lambda,5e-05,k_density,300.0,0.9219475655430711,0.01087155309903417,0.9049425717852685,0.019744563480114823,0.907712858926342,0.01473843817426972,0.903063670411985,0.020190586709587743,0.5833333333333334,0.06866499772511853,0.46382238292050015,0.03627412789736091,0.17130829045262658,0.06746215245926246,0.49925980155583877,0.09895131350191536,0.5472528139506265,0.053412294219010996,0.18429931519734613,0.10339272498357374,5
pbmc,DR-SNE,lambda,0.0001,k_density,40.0,0.9201997503121099,0.012678429709155408,0.9016766541822723,0.0193451663063682,0.9006317103620475,0.019674076062346574,0.8951360799001249,0.023113153964659797,0.581578027465668,0.05413766422874368,0.5455720222235335,0.046024065551410386,0.2892316408963377,0.05562563213215463,0.5640999693646691,0.05536640617285826,0.5527698090578472,0.05212460788002958,0.17030911507597574,0.11555967992273888,5
pbmc,DR-SNE,lambda,0.0001,k_density,80.0,0.9180724094881398,0.011909093542271933,0.9028539325842697,0.008320151637912828,0.9028988764044943,0.01987829141387163,0.8971036204744071,0.021386902870731354,0.5754756554307117,0.0654233920729434,0.5510781212068635,0.028431485588679528,0.2620786445160347,0.06908652716899107,0.5510937486188513,0.08830732207786005,0.5769212587721879,0.0611109451116712,0.21103254619110762,0.14041774641970417,5
pbmc,DR-SNE,lambda,0.0001,k_density,300.0,0.924461922596754,0.011522780296027517,0.9047415730337078,0.029165689106831247,0.9122921348314608,0.011131518382985808,0.9064569288389512,0.01663909262171456,0.5855330836454431,0.06495640083753246,0.5491355716968223,0.037547151185846235,0.21248310475235507,0.059803416878817905,0.5849134348261419,0.06577707748168209,0.6017704297653774,0.058212019285019824,0.2094293046751962,0.1339531008006081,5
pbmc,DR-SNE,lambda,0.0002,k_density,40.0,0.9186616729088639,0.008123304926954258,0.890828963795256,0.022829417259790322,0.9028052434456928,0.014921847911822996,0.8943295880149813,0.02069247508837084,0.572394506866417,0.06462887701520138,0.5545469392460916,0.03130403394454905,0.3779525520367099,0.05428988780612645,0.5209594098714989,0.07817604178992113,0.49156679084778504,0.026606000663984733,0.15576750961552124,0.09054197408552911,5
pbmc,DR-SNE,lambda,0.0002,k_density,80.0,0.9220848938826467,0.007894758361708111,0.8996392009987517,0.025635046775827036,0.9053508114856429,0.012465530692288004,0.900561797752809,0.013474071598391608,0.5829238451935081,0.06909555975241398,0.5741593929298151,0.03459888634426505,0.3665247667131784,0.10957947855849424,0.5850172479308184,0.05821737651107202,0.6086279832678985,0.06844992975988132,0.16563818077769138,0.11325394563921948,5
